時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,113,110,119,341,96,140,133
01,45,30,61,119,60,82,93
02,31,48,47,85,60,48,61
03,49,38,62,56,66,42,32
04,30,41,63,92,72,36,69
05,54,69,61,88,114,86,76
06,92,110,111,233,126,84,94
07,139,96,143,218,179,127,176
08,111,117,134,346,160,173,161
09,93,129,112,198,99,165,152
10,74,104,104,141,81,136,152
11,135,150,135,213,182,134,126
12,133,132,160,209,155,145,103
13,122,114,104,208,101,63,115
14,82,126,106,165,121,126,99
15,105,86,97,149,108,121,120
16,144,135,119,176,93,110,107
17,188,111,168,231,160,124,101
18,159,116,135,233,147,176,74
19,151,171,126,216,106,176,141
20,209,179,143,272,179,163,167
21,182,200,278,270,207,147,228
22,421,215,206,255,225,163,240
23,263,194,601,211,173,178,217
