名詞,名詞数,動詞,動詞数,形容詞,形容詞数
絵,10,描ける,1.0,いい,1.0
中心,1,描く,13.0,ない,7.0
分岐,1,始める,2.0,すごい,8.0
アカ,1,消える,1.0,とてつもない,1.0
投下,1,追う,1.0,小さい,1.0
ファースト,1,語る,1.0,良い,3.0
ステップ,1,曲がる,1.0,汚い,1.0
題,1,取り戻す,1.0,古い,1.0
現代,2,受け入れる,1.0,っぽい,2.0
タイトル,1,いう,2.0,悪い,1.0
ホームドラマ,2,思う,5.0,ほしい,1.0
引用,3,聞こえる,1.0,かわいい,2.0
言及,1,来る,2.0,多い,1.0
後半,1,出る,4.0,難しい,2.0
以下,1,できる,1.0,長い,1.0
軌跡,1,出会う,2.0,珍しい,1.0
未亡人,1,置く,1.0,恥ずかしい,1.0
仕草,1,く,3.0,うまい,1.0
アンチ,1,はじまる,1.0,怖い,1.0
ねじ,1,帰る,1.0,にくい,1.0
自分,5,話す,1.0,可愛い,2.0
対話,1,迷う,1.0,美しい,1.0
愛,1,見る,3.0,とおい,1.0
別,1,ちゃう,2.0,えらい,1.0
形,1,持つ,1.0,,
失恋,1,行く,4.0,,
段階,1,つく,5.0,,
以上,1,現れる,2.0,,
ここら,1,読む,4.0,,
辺,1,くる,4.0,,
キロ,4,出来る,1.0,,
自覚,1,触れる,1.0,,
的,5,うなる,1.0,,
発見,2,しまう,7.0,,
漫画,3,ちる,5.0,,
祝,1,こる,1.0,,
巻,2,嘆く,1.0,,
発売,1,耽る,1.0,,
完結,1,言う,3.0,,
俺,1,忘れる,1.0,,
不死身,1,届く,3.0,,
杉,10,並べる,1.0,,
元,4,済む,1.0,,
月,1,やる,7.0,,
綺麗,1,入れる,3.0,,
みたい,3,違う,1.0,,
日,6,連れる,2.0,,
版,2,続く,1.0,,
深夜,1,推す,2.0,,
真剣,1,書く,1.0,,
絵描き,1,みる,2.0,,
分,1,進める,1.0,,
一,2,殴る,2.0,,
本,1,おく,2.0,,
勝負,1,くれる,2.0,,
こっち,1,つける,1.0,,
