組み合わせ,共起回数
"消耗, 為る",5
"事, 為る",2
"事, 居る, 為る",2
"事, 情報, 為る",3
"事, 居る, 情報, 為る",2
"事, 居る",2
"事, 居る, 情報",6
"事, 情報",3
"事, 情報, 情報",3
"人, 研修",2
"在処, 消耗",2
"在処, 思う",2
"在処, 有る",2
"在処, 自分",2
"在処, 為る",8
"在処, 思う, 消耗",2
"在処, 有る, 消耗",2
"在処, 消耗, 自分",2
"在処, 消耗, 為る",2
"在処, 思う, 有る",2
"在処, 思う, 自分",2
"在処, 思う, 為る",2
"在処, 有る, 自分",2
"在処, 有る, 為る",2
"在処, 為る, 自分",2
"在処, 思う, 有る, 消耗",2
"在処, 思う, 消耗, 自分",2
"在処, 思う, 消耗, 為る",2
"在処, 有る, 消耗, 自分",2
"在処, 有る, 消耗, 為る",2
"在処, 消耗, 為る, 自分",2
"在処, 思う, 有る, 自分",2
"在処, 思う, 有る, 為る",2
"在処, 思う, 為る, 自分",2
"在処, 有る, 為る, 自分",2
"在処, 思う, 有る, 消耗, 自分",2
"在処, 思う, 有る, 消耗, 為る",2
"在処, 思う, 消耗, 為る, 自分",2
"在処, 有る, 消耗, 為る, 自分",2
"在処, 思う, 有る, 為る, 自分",2
"在処, 思う, 有る, 消耗, 為る, 自分",2
"消耗, 知れる",2
"在処, 消耗, 知れる",3
"消耗, 為る, 知れる",8
"在処, 消耗, 為る, 知れる",3
"思う, 消耗, 知れる",2
"在処, 思う, 消耗, 知れる",3
"思う, 消耗, 為る, 知れる",8
"在処, 思う, 消耗, 為る, 知れる",3
"在処, 思う, 知れる",3
"在処, 思う, 為る, 知れる",12
"思う, 為る, 知れる",8
"思う, 為る, 為る, 知れる",12
"思う, 有る, 知れる",2
"在処, 思う, 有る, 知れる",3
"思う, 有る, 為る, 知れる",8
"在処, 思う, 有る, 為る, 知れる",3
"思う, 有る, 消耗, 知れる",2
"在処, 思う, 有る, 消耗, 知れる",3
"思う, 有る, 消耗, 為る, 知れる",8
"在処, 思う, 有る, 消耗, 為る, 知れる",3
"在処, 有る, 消耗, 知れる",3
