名詞,名詞数,動詞,動詞数,形容詞,形容詞数
仕事,1,くれる,1.0,忙しい,1.0
消耗,2,しまう,1.0,良い,1.0
悲しみ,1,読む,1.0,うまい,1.0
完全,1,過ごす,1.0,多い,2.0
アカウント,3,落ち着く,1.0,難しい,1.0
移行,1,思う,3.0,ない,1.0
年,1,しれる,2.0,美しい,1.0
人生,1,あげる,1.0,,
今日,1,いく,1.0,,
職場,1,く,1.0,,
静か,1,知る,1.0,,
研修,2,しきる,1.0,,
資料,1,苛立つ,1.0,,
１,1,話し合う,1.0,,
日,1,わかる,2.0,,
人数,1,すぎる,1.0,,
気持ち,1,眺める,1.0,,
人,3,感じ取る,1.0,,
構成,1,助かる,1.0,,
今更,1,選べる,1.0,,
定期,1,離れる,1.0,,
的,2,みる,1.0,,
期間,1,できる,1.0,,
自分,4,つける,1.0,,
依存,1,置く,1.0,,
これ,1,作る,2.0,,
機,1,もらう,1.0,,
シフト,1,行く,1.0,,
チェンジ,1,観る,1.0,,
絵,1,,,,
向こう,1,,,,
いや,1,,,,
過去,1,,,,
倉庫,1,,,,
扱い,1,,,,
め,1,,,,
いらいら,1,,,,
上,1,,,,
やり方,1,,,,
同士,1,,,,
グループ,1,,,,
チャット,1,,,,
結局,1,,,,
みたい,1,,,,
まじ,1,,,,
内容,1,,,,
情報,3,,,,
過多,1,,,,
それら,1,,,,
世の中,1,,,,
動き,1,,,,
傾向,1,,,,
自覚,1,,,,
場面,1,,,,
取捨選択,1,,,,
ほんとう,1,,,,
必要,1,,,,
脳,1,,,,
ふじ,1,,,,
おの,1,,,,
遥か,1,,,,
群衆,1,,,,
活用,1,,,,
気遣い,1,,,,
タイトル,1,,,,
詩,2,,,,
元,1,,,,
自体,1,,,,
皮肉,1,,,,
ここ,1,,,,
数,1,,,,
距離,1,,,,
根本,1,,,,
解決,1,,,,
安らぎ,1,,,,
もの,1,,,,
妙,1,,,,
気,1,,,,
付き,1,,,,
異端,1,,,,
鳥,1,,,,
