名詞,名詞数,動詞,動詞数,形容詞,形容詞数
トマト-tomato,31,成る,4003.0,悲しい,182.0
卵,26,来る,2057.0,寒い,108.0
ポアレ-Poir,1,作る,517.0,欲しい,1280.0
仕事,367,為る,13186.0,無い,3915.0
電話,49,始める,224.0,疚しい,1.0
時間,370,付け直す,1.0,辛い,302.0
今日,742,待つ,244.0,良い,4003.0
無精,3,済む,339.0,凄まじい,12.0
物,998,居る,5550.0,相応しい,5.0
メーク-make,62,言う,3932.0,深い,78.0
直し,5,買う,1018.0,眠い,164.0
理由,45,分かる,1433.0,面白い,621.0
アイシャ-Aisha,2,遣る,1719.0,温かい,76.0
続き,92,出来る,1053.0,可愛い,1311.0
残り,78,見える,252.0,嬉しい,585.0
文字,100,寝る,408.0,優しい,194.0
唇,14,食べる,945.0,黒い,14.0
無し,94,飲む,202.0,短い,43.0
ウルトラ-ultra,3,落とす,25.0,忙しい,90.0
リップ-lip,31,付ける,342.0,旨い,263.0
ブースター-booster,1,違う,286.0,凄い,1276.0
昨日,275,下さる,774.0,怖い,359.0
素肌,2,思う,2993.0,美味しい,358.0
感じ,408,御座る,1648.0,大きい,111.0
最小,3,聞く,458.0,軽い,25.0
時短,3,知る,467.0,強い,120.0
顔,388,売る,44.0,新しい,92.0
代わり,51,受ける,120.0,重い,47.0
朝夜,1,ばれる,15.0,少ない,84.0
マッサージ-massage,16,会う,144.0,痛い,205.0
保湿,16,仕舞う,1479.0,楽しい,329.0
後,954,為さる,98.0,宜しい,31.0
カラー-color,40,考える,541.0,汚い,8.0
レス-less,9,見る,3901.0,太い,6.0
皆,464,打ち壊す,2.0,やばい,295.0
事,2656,呉れる,804.0,厳しい,44.0
辺,77,感ずる,247.0,悪い,290.0
時,994,抜く,35.0,素晴らしい,169.0
覚え書き,1,有る,3387.0,偉い,208.0
抑,73,迫り来る,2.0,久しい,227.0
カバー-cover,28,生き延びる,21.0,物寂しい,1.0
素材,31,しがみ付く,3.0,酷い,65.0
状態,74,含める,48.0,怪しい,26.0
健康,66,使う,478.0,明るい,35.0
一,912,得る,115.0,濃い,21.0
二,410,描く,1289.0,柔らかい,31.0
白湯,8,持つ,391.0,青い,11.0
前提,34,行く,2049.0,長い,106.0
夜,143,頂く,676.0,物凄い,37.0
アイ-eye,47,渡る,11.0,煩い,30.0
クリーム-cream,50,貰う,406.0,程近い,2.0
自愛,20,眠る,129.0,可笑しい,59.0
検-検察庁,2,流す,52.0,悔しい,19.0
時点,47,終わる,272.0,口汚い,1.0
ユウサク,1414,付き合う,39.0,古い,21.0
質問,99,命ずる,1.0,温い,6.0
仕様,116,向かう,11.0,羨ましい,37.0
回答,24,教える,213.0,恥ずかしい,75.0
気持ち,496,返る,235.0,冷たい,25.0
ネック-neck,4,煮る,13.0,赤い,34.0
ウォーマー-warmer,2,流行る,22.0,熱い,37.0
帽子,9,思い出す,257.0,えぐい,21.0
検査,18,守る,43.0,目覚ましい,1.0
自涜,2,出す,318.0,恐ろしい,56.0
翌日,10,願う,292.0,めんどい,13.0
兄,550,致す,145.0,瑞々しい,2.0
面,29,間に合う,24.0,でかい,98.0
意味,224,頑張る,442.0,青黒い,1.0
定型,9,茹でる,9.0,難しい,209.0
物語,196,参る,33.0,しんどい,61.0
メラニー-外国,1,ぶつける,17.0,薄い,57.0
ＬＯＲＡＮ,1,履く,48.0,小さい,104.0
監督,79,炒める,15.0,多い,228.0
力量,4,押す,245.0,美しい,227.0
ベン-Benn,10,並べる,27.0,弱い,61.0
フォスター-Foster,1,置く,337.0,狡い,20.0
最高,382,入れる,299.0,遅い,43.0
エル-外国,3,駆け抜ける,5.0,有り難い,122.0
慟哭,1,吸う,69.0,儚い,8.0
度肝,3,転ずる,2.0,白い,33.0
海辺,4,生きる,321.0,根深い,3.0
幻想,8,縛る,10.0,遠い,22.0
救済,6,認める,38.0,力強い,16.0
嵐,4,送る,148.0,細い,18.0
中,343,救う,37.0,早い,261.0
最後,139,通る,22.0,近い,78.0
生,46,齧る,15.0,広い,27.0
過渡,4,狂う,12.0,怠い,19.0
期,39,過ぎる,922.0,図々しい,10.0
自分,904,泣く,342.0,渋い,2.0
不快,6,出る,818.0,グロい,4.0
女子,27,痛む,7.0,愛しい,14.0
論争,1,届く,167.0,拙い,10.0
差別,69,尽きる,8.0,詳しい,41.0
用語,10,べた付く,1.0,大人しい,23.0
シッパー-shipper,1,対する,157.0,眩しい,11.0
他人,51,落ちる,64.0,鋭い,8.0
字面,3,思い掛ける,8.0,涙脆い,1.0
面倒,67,浮く,8.0,エロい,4.0
人間,476,乾く,15.0,激しい,16.0
言葉,221,付く,144.0,高い,139.0
恩義,1,見付かる,22.0,重苦しい,2.0
救い,15,経つ,61.0,艶めかしい,1.0
自己,67,住む,44.0,正しい,37.0
確立,4,奪う,10.0,若い,71.0
人,1133,降り懸かる,6.0,暑い,39.0
理解,132,関わる,42.0,涼しい,14.0
男,234,疲れる,134.0,不味い,30.0
礼賛,4,勧める,198.0,低い,21.0
積り,84,合う,105.0,厚い,21.0
怠惰,4,集まる,17.0,危うい,20.0
自称,4,楽しむ,97.0,薄ら寒い,2.0
盲点,1,つく,241.0,甘い,41.0
茶漬け,3,悩む,71.0,懐かしい,61.0
タイム-time,98,探す,93.0,きもい,25.0
夜中,67,止める,172.0,苦しい,27.0
毛髪,5,外す,22.0,寂しい,74.0
喋り,25,頼む,100.0,疎い,8.0
隣り,18,助ける,68.0,切ない,17.0
当て,7,受け取る,39.0,暗い,25.0
話,1027,塞がる,4.0,粘り強い,1.0
ユーフォリア-euphoria,5,弾く,15.0,めでたい,101.0
メッセージ-message,31,取れる,65.0,心地良い,4.0
妹,38,取る,397.0,珍しい,40.0
買い物,50,要る,39.0,狭い,13.0
都会,4,抜ける,25.0,荒い,6.0
キジマ,1,止まる,25.0,しょぼい,4.0
途端,13,洗う,39.0,甘酸っぱい,7.0
奴,599,びびる,50.0,寒々しい,1.0
赤ちゃん,71,掛ける,227.0,安い,32.0
騎士,1,動く,68.0,危ない,11.0
店員,10,起こす,39.0,程遠い,2.0
絶対,326,比べる,32.0,肌寒い,1.0
首,35,動かす,16.0,淡い,5.0
頭,122,固まる,10.0,厚かましい,2.0
ストール-stall,8,押さえる,18.0,好ましい,12.0
巻き,1,曲がる,15.0,限り無い,5.0
頭部,3,諦める,40.0,苦い,2.0
夏,66,食らう,6.0,空恐ろしい,3.0
オオサカ,12,覚える,105.0,悪しい,3.0
イサム,798,歌う,126.0,幼い,13.0
オモト,17,喋る,84.0,清い,1.0
再版,67,変わる,189.0,気高い,3.0
入荷,21,合わせる,44.0,目まぐるしい,2.0
今後,39,似合う,83.0,さり気無い,9.0
予定,109,憧れる,38.0,浅い,8.0
月,324,真似る,2.0,だらし無い,5.0
部数,10,噛み締める,16.0,敢え無い,1.0
アダム-Adam,69,生まれる,37.0,恋しい,5.0
肋骨,20,生む,17.0,惜しい,6.0
返却,4,吹く,9.0,固い,20.0
申し込み,13,切れる,52.0,こそばゆい,2.0
無理,208,萌える,74.0,尊い,9.0
御免,114,寝込む,5.0,程良い,10.0
絵,238,嗅ぐ,12.0,腑甲斐無い,2.0
びっくり,155,望む,19.0,罪深い,3.0
雰囲気,101,直る,22.0,緩い,12.0
饂飩,12,死ぬ,275.0,手厚い,8.0
サラ-salary,6,始まる,95.0,きつい,41.0
飯,16,知れる,504.0,余所余所しい,1.0
番組,35,与える,23.0,やんごとない,1.0
配信,92,滅びる,6.0,鈍い,10.0
世界,200,助かる,47.0,烏滸がましい,3.0
原稿,305,冴える,4.0,近しい,3.0
応援,53,暮らす,56.0,黄色い,3.0
天気,29,蒼む,1.0,喜ばしい,2.0
散歩,43,迷う,43.0,嫌らしい,7.0
今朝,93,着る,165.0,くどい,1.0
デビッド-David,24,擦る,37.0,しつこい,5.0
ボウイ-Bowie,5,伝わる,26.0,空しい,4.0
デート-date,17,褒める,67.0,貧しい,8.0
夢,157,解す,8.0,いとおしい,14.0
スーパー-super,50,読む,1248.0,後ろ暗い,2.0
欲望,34,飼う,81.0,痛ましい,2.0
一心,5,掻く,38.0,薄暗い,3.0
