時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,220.0,103.0,162.0,78.0,102.0,126.0,208.0
01,261.0,218.0,254.0,178.0,292.0,274.0,189.0
02,312.0,428.0,393.0,352.0,430.0,435.0,272.0
03,320.0,344.0,430.0,404.0,473.0,413.0,296.0
04,449.0,374.0,467.0,434.0,407.0,399.0,312.0
05,406.0,435.0,527.0,574.0,462.0,414.0,376.0
06,408.0,402.0,400.0,450.0,392.0,486.0,343.0
07,318.0,321.0,287.0,364.0,250.0,366.0,329.0
08,99.0,99.0,77.0,337.0,85.0,186.0,199.0
09,3.0,9.0,9.0,18.0,25.0,41.0,77.0
10,2.0,2.0,4.0,1.0,2.0,9.0,29.0
11,,,3.0,,,,
12,1.0,,,,,,
13,2.0,4.0,1.0,8.0,3.0,1.0,5.0
14,13.0,29.0,28.0,47.0,34.0,19.0,25.0
15,60.0,109.0,112.0,185.0,114.0,78.0,74.0
16,75.0,88.0,129.0,196.0,172.0,173.0,94.0
17,101.0,67.0,86.0,112.0,110.0,209.0,175.0
18,84.0,88.0,117.0,110.0,132.0,233.0,265.0
19,96.0,104.0,155.0,128.0,139.0,251.0,330.0
20,182.0,163.0,159.0,214.0,229.0,221.0,218.0
21,188.0,144.0,141.0,146.0,191.0,180.0,184.0
22,115.0,95.0,57.0,101.0,97.0,127.0,147.0
23,93.0,91.0,112.0,120.0,124.0,141.0,147.0
