時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,36.0,16.0,14.0,24.0,15.0,23.0,58.0
01,37.0,15.0,9.0,12.0,17.0,9.0,22.0
02,32.0,14.0,12.0,15.0,28.0,8.0,38.0
03,36.0,28.0,20.0,22.0,43.0,28.0,30.0
04,57.0,36.0,46.0,24.0,53.0,48.0,51.0
05,47.0,46.0,35.0,35.0,79.0,52.0,61.0
06,58.0,52.0,49.0,100.0,89.0,53.0,65.0
07,105.0,91.0,90.0,186.0,128.0,81.0,89.0
08,38.0,20.0,30.0,150.0,39.0,97.0,106.0
09,15.0,8.0,29.0,21.0,18.0,72.0,106.0
10,12.0,,28.0,17.0,6.0,73.0,92.0
11,41.0,49.0,38.0,75.0,37.0,64.0,71.0
12,8.0,9.0,18.0,17.0,20.0,67.0,67.0
13,2.0,12.0,13.0,13.0,18.0,54.0,69.0
14,2.0,9.0,10.0,28.0,13.0,47.0,35.0
15,8.0,4.0,10.0,34.0,15.0,33.0,52.0
16,26.0,8.0,5.0,53.0,20.0,61.0,83.0
17,41.0,42.0,42.0,65.0,43.0,72.0,68.0
18,47.0,55.0,42.0,55.0,60.0,96.0,112.0
19,64.0,108.0,74.0,81.0,122.0,128.0,132.0
20,107.0,114.0,83.0,117.0,140.0,119.0,159.0
21,103.0,109.0,92.0,150.0,118.0,117.0,131.0
22,135.0,85.0,81.0,97.0,75.0,110.0,139.0
23,31.0,54.0,182.0,42.0,60.0,104.0,53.0
