名詞,名詞数,動詞,動詞数,形容詞,形容詞数
ふじ,18,読む,374.0,ありがたい,42.0
おさん,18,残る,15.0,うれしい,106.0
本,219,書き下ろす,10.0,がたい,11.0
灯台,2,楽しむ,62.0,やわらかい,5.0
お話,38,いただける,116.0,素晴らしい,59.0
下敷き,4,もつ,15.0,儚い,1.0
楽しみ,47,いただく,176.0,すばらしい,20.0
一時期,2,読み切る,1.0,ひろい,1.0
熱心,6,書く,285.0,いい,250.0
潮,1,くださる,147.0,ほしい,106.0
レ,4,ひる,22.0,ない,588.0
冬,7,連れる,5.0,悪しい,1.0
犬,25,行く,156.0,よい,122.0
刊行,17,食べる,59.0,怖い,15.0
印象,22,せる,245.0,拙い,11.0
邪魔,8,溢れる,1.0,嬉しい,44.0
これ,316,出る,132.0,高い,33.0
一番,33,くる,357.0,うまい,17.0
ろ,38,られる,297.0,楽しい,91.0
同軸,77,消える,11.0,にくい,14.0
エロ,33,しまう,435.0,すごい,172.0
こちら,176,出す,46.0,濃い,2.0
思い,32,楽しめる,14.0,やばい,5.0
込,1,生きる,97.0,やさしい,12.0
感想,86,できる,371.0,難しい,30.0
大変,17,思う,706.0,あたたかい,10.0
なん,50,見る,376.0,情けない,1.0
万,53,欠ける,8.0,長い,15.0
字,60,わかる,183.0,悲しい,27.0
以上,35,打ち抜く,5.0,つらい,56.0
みなさん,9,来る,63.0,深い,31.0
文字数,3,捕まえる,1.0,かわいい,43.0
ギリギリ,3,抱ける,1.0,恐ろしい,12.0
最終,42,にじむ,4.0,忙しい,5.0
話,346,しれる,118.0,ぽい,28.0
コメント,25,燃やす,3.0,悩ましい,6.0
欄,3,会う,15.0,たのしい,12.0
黒,6,剥く,4.0,小さい,9.0
脱力,1,しかる,10.0,づらい,2.0
フレンチ,3,考える,299.0,息苦しい,3.0
店,42,知る,153.0,清い,9.0
人,456,仕込む,4.0,良い,79.0
本気,6,失う,29.0,すさまじい,6.0
気概,4,関わる,16.0,強い,35.0
仕事,101,剥ぐ,4.0,新しい,13.0
丁寧,24,入れる,65.0,尊い,12.0
繊細,7,つくる,135.0,狭い,5.0
シェフ,6,思える,34.0,多い,71.0
人柄,2,もらう,75.0,ねむい,2.0
大好き,61,くれる,71.0,若い,12.0
最後,71,つく,66.0,偉い,1.0
葉っぱ,5,こぐ,2.0,美しい,18.0
苔,1,育つ,16.0,面白い,71.0
発想,6,みる,147.0,近い,12.0
技術,13,残す,19.0,訝しい,4.0
力,89,落とし込む,1.0,優しい,9.0
一瞬,14,へる,2.0,愛らしい,1.0
もの,410,よる,9.0,低い,15.0
世,8,だす,7.0,広い,9.0
さ,209,いう,194.0,おめでたい,1.0
逆,14,終わる,85.0,凄まじい,6.0
お世話,1,入る,49.0,ものすごい,8.0
なに,16,使う,74.0,かっこいい,2.0
言,3,調べる,9.0,煩い,1.0
実行,9,ひろう,2.0,明るい,4.0
録,7,すぎる,107.0,やすい,17.0
集,13,沁みる,2.0,悪い,28.0
こん,2,おっしゃる,18.0,おしい,17.0
吸引,1,終える,11.0,荒い,2.0
明日,30,消す,22.0,許可ない,1.0
今年,30,引きずる,3.0,おもしろい,16.0
北海道,75,切る,13.0,くだらない,3.0
出張,51,起こる,25.0,切ない,9.0
舞台,11,さまよう,1.0,古い,4.0
探訪,3,書き落とす,1.0,薄い,14.0
自分,266,埋める,3.0,弱い,6.0
連絡,32,乗る,14.0,好ましい,2.0
面識,2,そびれる,2.0,いたい,3.0
方,291,始める,34.0,興味深い,25.0
いや,3,膨らむ,1.0,かわゆい,2.0
欲望,14,いく,178.0,しんどい,13.0
根拠,11,増やす,4.0,早い,23.0
他人,16,続ける,80.0,厳しい,11.0
行動,38,ちゃう,25.0,少ない,22.0
強制,18,抑える,1.0,おかしい,21.0
無自覚,5,着ける,4.0,さみしい,5.0
私,343,面す,2.0,でっかい,1.0
自身,27,泊まる,9.0,むごい,5.0
呪術,3,申し上げる,6.0,まぶしい,5.0
回戦,3,いたす,63.0,大きい,28.0
未見,2,取り上げる,6.0,美味しい,25.0
夫,24,異なる,34.0,眩しい,2.0
最新,32,書ける,21.0,厚い,2.0
回,44,かける,48.0,あやうい,1.0
男子校,3,痛み入る,1.0,奥深い,2.0
ノリ,4,回る,6.0,ひどい,5.0
嫌,8,話しかける,9.0,うい,12.0
女性,78,受け取る,27.0,熱い,5.0
視聴,5,取る,22.0,遅い,9.0
者,385,がんばる,33.0,もったいない,5.0
デリカシー,1,詰め込む,3.0,かなしい,4.0
しょんぼり,3,読める,55.0,久しい,2.0
結婚,14,触れる,7.0,恥ずかしい,8.0
鶴見,318,言う,316.0,すっごい,3.0
妻子,7,かく,4.0,厚かましい,2.0
銃弾,5,語る,31.0,痛ましい,11.0
故意,3,置き換える,7.0,暗い,3.0
はず,114,奪う,20.0,でかい,4.0
憲兵,1,貶める,11.0,際どい,1.0
ため,305,守る,22.0,可笑しい,1.0
あれ,56,気遣う,1.0,快い,1.0
私怨,5,救う,14.0,根強い,4.0
父親,27,飾る,8.0,よろしい,10.0
娘,21,追いつける,1.0,幽い,2.0
かなり,8,怒る,7.0,たくましい,1.0
殺害,6,憶える,1.0,疎ましい,6.0
それ,351,おく,40.0,根深い,2.0
納得,28,忘れる,26.0,めまぐるしい,1.0
写真,58,覚える,9.0,色濃い,2.0
館,55,去る,4.0,可愛らしい,6.0
一,169,決める,30.0,こい,9.0
悶着,1,抜ける,4.0,ずるい,1.0
顔,76,響く,11.0,カッコイイ,1.0
説,21,描く,286.0,心地よい,2.0
可能,101,刺す,6.0,くさい,3.0
性,243,斬る,9.0,おぼしい,1.0
件,24,つける,64.0,欲しい,5.0
以外,15,打ち込む,2.0,清々しい,1.0
何,228,渡す,7.0,可愛い,6.0
回想,10,撃ち込む,3.0,おいしい,11.0
シーン,16,話す,21.0,待ち遠しい,2.0
虹彩,4,事切れる,1.0,かっこよい,1.0
確認,17,つぐ,2.0,まずい,4.0
のっぺらぼう,9,すり減る,1.0,速い,1.0
一人物,1,癒す,4.0,正しい,23.0
上,42,笑う,28.0,軽い,9.0
童,1,ゆう,28.0,詳しい,5.0
偽物,7,伝える,17.0,やりきれない,3.0
間違い,8,ちる,43.0,分厚い,2.0
本人,21,詰まる,5.0,心苦しい,1.0
後者,15,抜け落ちる,2.0,っぽい,8.0
夢,92,繰り返す,29.0,気持ちよい,8.0
意志,18,こする,1.0,たまらない,5.0
確実,12,起きる,15.0,白い,6.0
手,122,殺す,137.0,重い,11.0
多め,5,眺める,18.0,寒い,7.0
内容,41,流れる,11.0,さむい,2.0
事前,6,焼き付ける,1.0,恐れ多い,1.0
絶対,36,とどめる,3.0,激しい,7.0
届け,10,外す,4.0,永い,2.0
無料,41,組む,8.0,感慨深い,1.0
配布,36,下げる,6.0,せつない,5.0
認識,66,好む,4.0,おもい,2.0
リプライ,21,送る,18.0,黒い,1.0
いち,9,貼る,5.0,力強い,2.0
さん,1027,変わる,62.0,しぶい,1.0
感無量,2,めぐらせる,2.0,渋い,2.0
窓,3,与える,40.0,うらやましい,3.0
網走,26,汚す,3.0,甘い,9.0
監獄,25,やれる,3.0,むずかしい,1.0
博物館,21,向ける,29.0,えぐい,1.0
とき,150,重ねる,28.0,懐かしい,1.0
野田,91,認める,12.0,凛々しい,1.0
先生,134,通り越す,1.0,むなしい,1.0
いま,73,叶う,8.0,浅い,1.0
作中,89,犯す,15.0,四角い,1.0
地元,11,うる,22.0,しょうもない,1.0
たち,287,殺める,5.0,篤い,1.0
誇り,12,させる,22.0,粘り強い,1.0
尾形,316,動く,8.0,痛い,3.0
ここ,164,外れる,3.0,めずらしい,2.0
枠,3,疲れる,6.0,短い,1.0
抜き,3,救い出す,1.0,望ましい,1.0
視認,3,合わせる,10.0,うとましい,2.0
対象,28,死ぬ,94.0,つたない,1.0
狙撃,24,落ちる,31.0,いたたまれない,1.0
成功,9,溶ける,3.0,細い,1.0
尋常,4,当たる,13.0,相容れない,1.0
しんき,2,例える,2.0,珍しい,1.0
尾,342,強いる,8.0,遠い,1.0
杉,587,背負う,8.0,難い,3.0
タクシー,7,選ぶ,36.0,堅苦しい,1.0
運転,7,やめる,8.0,潔い,2.0
自粛,4,見出す,3.0,たかい,1.0
効果,3,危惧す,3.0,さとい,1.0
人出,1,信じる,21.0,苦しい,7.0
割,5,捨てる,21.0,せまい,1.0
最中,1,願う,12.0,賢い,1.0
皮,28,射抜く,1.0,いじらしい,1.0
ポテト,1,おおう,6.0,太い,4.0
サラダ,4,言い聞かせる,3.0,ぬるい,1.0
匿名,16,漏れる,5.0,近しい,1.0
配送,15,たらし込む,2.0,細かい,2.0
サービス,7,押し切る,1.0,男らしい,4.0
注文,15,聞く,41.0,味わい深い,3.0
月,152,感じる,60.0,くろい,1.0
日,209,得る,46.0,安い,5.0
時,54,結ぶ,7.0,おもろい,1.0
受付,6,基づく,14.0,なつかしい,1.0
関心,43,成り立つ,4.0,かわいらしい,1.0
ところ,141,暮らす,8.0,生々しい,5.0
機能,30,かたちづくる,5.0,ままならない,4.0
任意,1,話し合う,4.0,色っぽい,1.0
金額,6,嫌がる,1.0,凄い,1.0
商品,7,暮らせる,1.0,ねちっこい,3.0
代金,1,惜しむ,1.0,とてつもない,2.0
上乗せ,5,募る,6.0,等しい,7.0
却下,1,きく,7.0,おそろしい,3.0
物,10,勤しむ,1.0,人懐っこい,1.0
札幌,19,滾る,1.0,おそれおおい,1.0
心,91,兼ねる,2.0,うつくしい,1.0
