時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,7,23,18,44,21,20,12
01,9,16,9,28,7,4,30
02,7,14,7,8,7,8,9
03,2,18,10,10,15,9,3
04,4,15,7,9,18,11,9
05,11,17,6,14,14,10,12
06,9,13,11,16,7,6,14
07,8,17,12,19,18,14,10
08,29,24,13,53,16,16,33
09,25,17,13,58,26,18,37
10,24,13,12,54,20,27,37
11,30,35,6,42,30,32,32
12,17,22,17,39,27,23,34
13,14,11,6,16,17,16,31
14,24,13,14,11,19,22,25
15,14,17,22,27,30,20,13
16,15,15,22,20,18,15,26
17,26,27,22,49,13,20,33
18,23,32,31,47,17,29,50
19,48,26,43,70,45,40,41
20,51,43,45,38,33,29,45
21,44,38,40,27,44,44,44
22,66,23,39,28,45,51,30
23,49,21,138,37,40,13,22
