名詞,名詞数,動詞,動詞数,形容詞,形容詞数
準備,7,有る,414.0,小さい,5.0
段階,9,察する,3.0,良い,168.0
映画,54,言う,661.0,少ない,14.0
物,158,至る,4.0,怖い,9.0
開会,20,知る,28.0,大きい,16.0
一切,2,見る,203.0,重い,9.0
歴史,17,居る,420.0,無い,246.0
情報,22,見せる,41.0,悪い,24.0
式,21,付ける,31.0,白々しい,1.0
目茶苦茶,3,為る,1372.0,長い,9.0
事,341,消える,2.0,恐ろしい,1.0
結果,15,纏まる,4.0,面白い,27.0
位置,10,目指す,10.0,欲しい,35.0
年,82,損ねる,3.0,旨い,12.0
案,7,現われる,12.0,心地良い,7.0
日本,32,来る,255.0,早い,15.0
茶の間,2,置く,40.0,難しい,11.0
スケール-scale,11,そぐう,1.0,凄い,40.0
纏まり,2,立つ,17.0,若い,2.0
トウキョウ,5,抱える,5.0,低い,8.0
五輪,34,使う,23.0,可笑しい,6.0
部分,34,残す,6.0,相応しい,6.0
志向,5,行く,239.0,ややこしい,1.0
今,68,思う,163.0,危うい,10.0
発信,3,留まる,2.0,望ましい,1.0
限界,5,引き受ける,7.0,正しい,6.0
コンセプト-concept,2,試す,4.0,強い,29.0
ディレクター-director,9,成る,274.0,高い,17.0
コバヤシ,31,遣る,90.0,悪しい,2.0
ケンタロウ,27,出す,57.0,えぐい,2.0
白羽,1,与える,15.0,ぎこちない,1.0
矢,2,仕舞う,71.0,多い,11.0
諸々,8,出来る,94.0,嬉しい,4.0
頭,7,過ぎる,42.0,近い,6.0
当初,6,聞く,26.0,甘い,2.0
予定,4,切り離す,4.0,生温かい,1.0
ピクトグラム-pictogram,5,出る,49.0,不味い,1.0
爪痕,1,頑張る,12.0,おっかない,1.0
以上,16,当てる,7.0,厳しい,3.0
所,99,変える,9.0,激しい,5.0
形,23,描く,66.0,煩い,1.0
実際,11,呟く,1.0,軽い,4.0
自慢,1,違う,25.0,新しい,10.0
別,16,見付ける,3.0,白い,3.0
非難,6,読む,55.0,瑞々しい,1.0
人数,6,焼き直す,1.0,大人しい,3.0
感,67,呉れる,35.0,忙しい,2.0
高揚,2,収める,1.0,深い,13.0
舞台,23,切る,9.0,しんどい,8.0
表現,24,感ずる,53.0,空しい,5.0
比較,2,取る,46.0,可愛い,4.0
リオ-Rio,3,作る,35.0,凄まじい,3.0
今回,20,許す,10.0,やばい,13.0
程度,16,関する,8.0,痛い,1.0
ウエルカム-welcome,1,忘れる,9.0,広い,3.0
空気,3,傷付ける,7.0,弱い,7.0
一転,1,演ずる,7.0,狭い,1.0
本邦,10,持つ,61.0,痛ましい,4.0
ゲーム-game,7,重なる,8.0,素晴らしい,11.0
音楽,9,因る,36.0,仕方無い,1.0
マリオ,1,行う,8.0,緩い,1.0
行進,1,絡む,1.0,重たい,1.0
曲,10,掘り出す,2.0,嫌らしい,1.0
訂正,3,飲み込む,7.0,久しい,4.0
文脈,11,続ける,20.0,辛い,3.0
去年,7,学ぶ,4.0,物悲しい,1.0
中止,6,付く,10.0,明るい,1.0
選手,3,笑う,19.0,細かい,1.0
焦点,5,引き摺る,1.0,きつい,3.0
人,142,残る,4.0,古い,4.0
麺,1,考える,32.0,狡い,3.0
活動,5,張る,8.0,危ない,1.0
絵柄,2,届く,10.0,酷い,3.0
絶対,11,関わる,9.0,楽しい,6.0
ドラマ-drama,13,敵う,2.0,馬鹿馬鹿しい,1.0
作品,63,構う,2.0,宜しい,1.0
漫画,15,知れる,23.0,めんどい,4.0
名義,1,定める,1.0,偉い,3.0
時,56,探す,3.0,生々しい,3.0
商業,2,気付く,6.0,暗い,1.0
同人,1,止める,16.0,とろい,2.0
キャラ-character,19,守る,5.0,詳しい,3.0
殆ど,8,明く,2.0,遅い,2.0
侭,27,崩れる,2.0,後ろめたい,1.0
オリジナル-original,1,消す,3.0,でかい,1.0
感心,1,沸く,4.0,際どい,1.0
活躍,2,入れる,18.0,きもい,1.0
還元,5,志す,2.0,苦しい,5.0
