時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,16.0,2.0,,3.0,,6.0,11.0
01,8.0,12.0,1.0,2.0,,1.0,17.0
02,5.0,7.0,3.0,5.0,6.0,14.0,26.0
03,15.0,7.0,8.0,10.0,5.0,19.0,10.0
04,7.0,10.0,15.0,16.0,9.0,22.0,16.0
05,17.0,14.0,11.0,19.0,14.0,23.0,32.0
06,6.0,21.0,22.0,34.0,21.0,19.0,28.0
07,11.0,26.0,23.0,20.0,11.0,19.0,22.0
08,5.0,10.0,11.0,1.0,12.0,20.0,22.0
09,,1.0,3.0,,1.0,2.0,5.0
10,1.0,,,,,,
15,,,,,1.0,,
16,,1.0,3.0,4.0,,4.0,1.0
17,8.0,,,,2.0,7.0,2.0
18,,4.0,2.0,,5.0,7.0,10.0
19,4.0,1.0,2.0,5.0,1.0,24.0,17.0
20,8.0,1.0,4.0,1.0,2.0,9.0,5.0
21,,4.0,1.0,,,11.0,20.0
22,1.0,,,,1.0,14.0,15.0
23,3.0,10.0,4.0,,10.0,13.0,9.0
