組み合わせ,共起回数
"必要, 点",5
"企画, 必要, 点",10
"必要, 思う, 点",7
"企画, 必要, 思う, 点",7
"必要, 思う",6
"企画, 必要, 思う",10
"企画, 必要",8
"作品, 行為",5
"ため, 作品, 作品",6
"ため, 作品, 作品, 言う",6
"ため, 作品, 言う",7
"ため, 作品, 作品, 自分",6
"ため, 作品, 作品, 自分, 言う",6
"ため, 作品, 自分, 言う",7
"作品, 作品, 自分",6
"作品, 作品, 自分, 言う",6
"作品, 自分, 言う",7
"作品, 作品",6
"作品, 作品, 言う",6
"作品, 言う",7
"点, 点, 無い",7
"企画, 点, 点, 無い",18
"企画, 点, 無い",27
"企画, 企画, 点, 無い",21
"企画, 無い",12
"企画, 企画, 無い",9
"企画, 思う, 誹謗",7
"企画, 思う, 点, 誹謗",12
"思う, 点, 誹謗",8
"企画, 誹謗",7
"企画, 点, 誹謗",15
"点, 誹謗",8
"点, 点, 誹謗",5
"中傷, 企画, 誹謗",7
"中傷, 企画, 点, 誹謗",15
"中傷, 点, 誹謗",8
"中傷, 点, 点, 誹謗",5
"中傷, 企画, 思う, 誹謗",7
"中傷, 企画, 思う, 点, 誹謗",12
"中傷, 思う, 点, 誹謗",8
"中傷, 企画, 思う",7
"中傷, 企画, 思う, 点",12
"中傷, 思う, 点",8
"中傷, 企画",7
"中傷, 企画, 点",15
"中傷, 点",8
"中傷, 点, 点",5
"寄付, 批判, 疑問",6
"寄付, 批判, 点, 疑問",8
"企画, 寄付, 批判, 疑問",12
"企画, 寄付, 批判, 点, 疑問",8
"寄付, 点, 疑問",7
"企画, 寄付, 点, 疑問",14
"企画, 寄付, 疑問",10
"企画, 企画, 寄付, 疑問",5
"思う, 点, 疑問",7
"思う, 批判, 点, 疑問",10
"企画, 思う, 点, 疑問",14
"企画, 思う, 批判, 点, 疑問",10
"思う, 批判, 疑問",8
"企画, 思う, 批判, 疑問",16
"企画, 思う, 疑問",10
"企画, 企画, 思う, 疑問",5
"批判, 疑問",6
"批判, 点, 疑問",8
"企画, 批判, 疑問",12
"企画, 批判, 点, 疑問",8
"点, 疑問",7
"企画, 点, 疑問",14
"企画, 疑問",10
"企画, 企画, 疑問",5
"次, 集金",8
"二, 集金",8
"創作, 集金",8
"批判, 集金",8
"寄付, 集金",12
"集金, 集金",6
"二, 次, 集金",8
"創作, 次, 集金",8
"批判, 次, 集金",8
"寄付, 次, 集金",8
"次, 集金, 集金",6
"二, 創作, 集金",8
"二, 批判, 集金",8
"二, 寄付, 集金",8
"二, 集金, 集金",6
"創作, 批判, 集金",8
"創作, 寄付, 集金",8
"創作, 集金, 集金",6
"寄付, 批判, 集金",8
"批判, 集金, 集金",6
"寄付, 集金, 集金",6
"二, 創作, 次, 集金",8
"二, 批判, 次, 集金",8
"二, 寄付, 次, 集金",8
"二, 次, 集金, 集金",6
"創作, 批判, 次, 集金",8
"創作, 寄付, 次, 集金",8
"創作, 次, 集金, 集金",6
"寄付, 批判, 次, 集金",8
"批判, 次, 集金, 集金",6
"寄付, 次, 集金, 集金",6
"二, 創作, 批判, 集金",8
"二, 創作, 寄付, 集金",8
"二, 創作, 集金, 集金",6
"二, 寄付, 批判, 集金",8
"二, 批判, 集金, 集金",6
"二, 寄付, 集金, 集金",6
"創作, 寄付, 批判, 集金",8
"創作, 批判, 集金, 集金",6
"創作, 寄付, 集金, 集金",6
"寄付, 批判, 集金, 集金",6
"二, 創作, 批判, 次, 集金",8
"二, 創作, 寄付, 次, 集金",8
"二, 創作, 次, 集金, 集金",6
"二, 寄付, 批判, 次, 集金",8
"二, 批判, 次, 集金, 集金",6
"二, 寄付, 次, 集金, 集金",6
"創作, 寄付, 批判, 次, 集金",8
"創作, 批判, 次, 集金, 集金",6
"創作, 寄付, 次, 集金, 集金",6
"寄付, 批判, 次, 集金, 集金",6
"二, 創作, 寄付, 批判, 集金",8
"二, 創作, 批判, 集金, 集金",6
"二, 創作, 寄付, 集金, 集金",6
"二, 寄付, 批判, 集金, 集金",6
"創作, 寄付, 批判, 集金, 集金",6
