名詞,名詞数,動詞,動詞数,形容詞,形容詞数
個人,10,言う,11.0,ひどい,2.0
環境,1,切る,3.0,欲しい,2.0
さまざま,1,追い込む,1.0,少ない,1.0
差別,7,しまう,9.0,難しい,2.0
言及,3,思う,22.0,多い,2.0
加担,1,せる,3.0,よい,1.0
心身,1,違う,1.0,無い,5.0
認識,2,選ぶ,1.0,ない,8.0
公式,8,知る,1.0,良い,4.0
権力,1,しれる,1.0,にくい,1.0
者,3,辿る,1.0,高い,1.0
話,1,着く,1.0,広い,1.0
別,2,くれる,1.0,近しい,1.0
構造,2,望める,1.0,素晴らしい,1.0
助長,1,いう,2.0,望ましい,1.0
表明,1,問う,2.0,悪い,2.0
力,1,あてる,1.0,短い,1.0
関係,1,ただす,1.0,ほしい,1.0
社会,5,持つ,2.0,古い,1.0
構成,5,続く,1.0,いい,1.0
員,3,見る,4.0,強い,1.0
温床,1,待つ,1.0,,
考慮,4,みる,1.0,,
上,1,宣う,1.0,,
思い,2,入れる,1.0,,
教育,1,よこす,1.0,,
きっかけ,2,騒ぐ,1.0,,
中,2,おおせる,1.0,,
そこ,3,含む,1.0,,
根本,3,つぶる,2.0,,
的,11,たてる,1.0,,
進展,1,出す,1.0,,
責任,4,出る,2.0,,
理由,2,くる,4.0,,
創作,12,こぼす,1.0,,
ファン,7,思える,2.0,,
気持ち,1,できる,3.0,,
無関係,3,話す,1.0,,
矛盾,1,置ける,1.0,,
百,1,関わる,1.0,,
合,1,責め立てる,3.0,,
部分,1,追い詰める,1.0,,
必要,5,感じる,12.0,,
以上,7,かける,1.0,,
焦点,1,傷つける,1.0,,
わたし,1,危惧す,2.0,,
たち,2,行う,2.0,,
正義,1,有り得る,1.0,,
義務,1,やめる,2.0,,
後景,1,分かる,4.0,,
化,2,転ぶ,2.0,,
みんな,1,うる,2.0,,
当事者,3,やる,1.0,,
今,7,勧める,2.0,,
加害,1,集める,2.0,,
歴史,1,答える,1.0,,
アイヌ,1,相次ぐ,2.0,,
件,1,控える,2.0,,
誤読,1,得る,3.0,,
複雑,1,求める,2.0,,
主催,1,募る,1.0,,
方,7,いらっしゃる,1.0,,
対応,8,選べる,1.0,,
疑問,6,及ぶ,1.0,,
人,5,取る,2.0,,
状況,3,出来る,1.0,,
寄附,2,委ねる,1.0,,
控除,1,見守る,1.0,,
権利,1,頂く,1.0,,
町,1,られる,3.0,,
募金,3,失う,1.0,,
箱,1,用いる,3.0,,
円,1,負う,1.0,,
玉,1,広まる,1.0,,
証明,1,考える,1.0,,
二,10,ちがう,1.0,,
次,10,集まる,1.0,,
完全,1,越す,1.0,,
隠れ,1,鑑みる,1.0,,
本気,1,言える,2.0,,
よう,10,覚える,1.0,,
ナイーブ,1,捉える,1.0,,
過度,1,例える,1.0,,
性的,1,動く,2.0,,
表現,1,起こる,1.0,,
目,3,見直す,1.0,,
行為,5,下げる,1.0,,
集英社,1,立ち上がる,2.0,,
寄付行為,1,踏まえる,1.0,,
目くじら,1,見つける,1.0,,
作品,5,喜ぶ,1.0,,
名,3,飛びつく,1.0,,
集金,6,疲れる,1.0,,
通販,1,亡くなる,1.0,,
サイト,1,悲しむ,1.0,,
即売,1,もらう,1.0,,
会,1,気付く,2.0,,
ジャンル,1,付く,1.0,,
自分,6,抱く,1.0,,
達,2,伏せる,1.0,,
楽しみ,1,見える,2.0,,
ため,6,くださる,1.0,,
利用,1,高める,1.0,,
金銭,1,煽る,1.0,,
授受,1,使う,1.0,,
発生,1,遅れる,1.0,,
公共,1,消す,1.0,,
性,4,書き換える,1.0,,
寄付,33,追う,1.0,,
企画,41,責める,1.0,,
非難,3,限る,1.0,,
側,3,まとめる,1.0,,
主張,1,招く,1.0,,
良心,1,間違う,1.0,,
整合,1,扱う,1.0,,
黙認,9,浴びせる,1.0,,
事例,1,似る,1.0,,
過去,1,,,,
感覚,4,,,,
同人,9,,,,
誌,9,,,,
線引き,2,,,,
設け,1,,,,
信頼,1,,,,
返金,1,,,,
点,23,,,,
詐欺,4,,,,
疑い,1,,,,
尊厳,2,,,,
文化,6,,,,
禁止,2,,,,
判断,3,,,,
見解,4,,,,
グレー,3,,,,
オタク,1,,,,
慣例,1,,,,
いつ,2,,,,
クロ,2,,,,
同じ,1,,,,
範疇,1,,,,
域,1,,,,
さ,1,,,,
そう,1,,,,
形,1,,,,
お金,1,,,,
説明,1,,,,
通り,1,,,,
ダム,1,,,,
発,1,,,,
意義,2,,,,
主,4,,,,
さん,6,,,,
考え,2,,,,
賛同,2,,,,
自由,1,,,,
批判,15,,,,
誹謗,5,,,,
中傷,5,,,,
下,1,,,,
回答,2,,,,
相違,1,,,,
完璧,2,,,,
理解,2,,,,
これ,2,,,,
後者,1,,,,
利益,1,,,,
誘導,1,,,,
意向,1,,,,
明記,1,,,,
参加,2,,,,
十分,1,,,,
意思,1,,,,
立場,1,,,,
用意,1,,,,
際,1,,,,
先,3,,,,
団体,1,,,,
影響,2,,,,
心配,1,,,,
具体,1,,,,
迷惑,1,,,,
当方,1,,,,
山田,2,,,,
危惧,2,,,,
悪質,1,,,,
規範,2,,,,
透明,1,,,,
確保,1,,,,
それ,6,,,,
予防,1,,,,
最終,1,,,,
要,1,,,,
こちら,2,,,,
選択,1,,,,
積極,1,,,,
不十分,1,,,,
不信,1,,,,
感情,2,,,,
質問,1,,,,
手段,1,,,,
金,3,,,,
信用,1,,,,
場合,1,,,,
名誉,1,,,,
使い方,1,,,,
原則,1,,,,
視覚,1,,,,
障害,1,,,,
みなさん,1,,,,
多く,2,,,,
懐疑,1,,,,
意見,1,,,,
レスポンス,1,,,,
現実,1,,,,
ハードル,1,,,,
危機,1,,,,
感,2,,,,
返信,1,,,,
提示,3,,,,
活動,4,,,,
確か,1,,,,
現在,1,,,,
萎縮,3,,,,
はず,1,,,,
全体,1,,,,
一,3,,,,
度,4,,,,
方法,2,,,,
問題,8,,,,
課題,6,,,,
結果,1,,,,
双方,1,,,,
発端,2,,,,
前,1,,,,
存在,1,,,,
善意,2,,,,
印象,1,,,,
もの,3,,,,
意図,1,,,,
応援,1,,,,
意味合い,1,,,,
私,2,,,,
民主,1,,,,
主義,1,,,,
暴力,1,,,,
何,4,,,,
勝手,2,,,,
内面,1,,,,
あたり,1,,,,
流石,1,,,,
気味,1,,,,
嫌がらせ,1,,,,
労働,3,,,,
時間,2,,,,
子供,1,,,,
時,1,,,,
人達,1,,,,
子,1,,,,
命,1,,,,
大切,1,,,,
立派,1,,,,
大事,1,,,,
投票,1,,,,
憶測,1,,,,
悪意,2,,,,
捌け口,1,,,,
理性,1,,,,
残念,1,,,,
著作,2,,,,
権,2,,,,
対象,1,,,,
前提,1,,,,
意味,1,,,,
両方,2,,,,
侵害,1,,,,
的はずれ,1,,,,
キャラクター,1,,,,
搾取,1,,,,
欲望,1,,,,
視,1,,,,
傷,1,,,,
まま,1,,,,
価値,1,,,,
観,1,,,,
固執,1,,,,
整理,1,,,,
解体,1,,,,
推奨,1,,,,
頒布,1,,,,
物,1,,,,
対価,1,,,,
言説,1,,,,
目的,1,,,,
時点,1,,,,
簡単,1,,,,
会計,1,,,,
不透明,1,,,,
可能,1,,,,
懸念,3,,,,
被害,1,,,,
防止,1,,,,
意識,4,,,,
方針,1,,,,
周囲,1,,,,
不安,1,,,,
行い,1,,,,
自覚,1,,,,
今回,2,,,,
大変,1,,,,
根拠,1,,,,
調度,1,,,,
採用,1,,,,
邪推,1,,,,
詳細,1,,,,
予告,1,,,,
それら,1,,,,
つもり,1,,,,
その他,1,,,,
槍玉,1,,,,
人権,2,,,,
犯罪,2,,,,
大げさ,1,,,,
注意,1,,,,
