単語,重要度,該当文章
さまざま,0.20392636418669588,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
しまう,0.13221473081267113,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
せる,0.17087838634121308,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
ひどい,0.1845945364224249,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
個人,0.13221473081267113,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
公式,0.1378304084957303,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
切る,0.17087838634121308,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
加担,0.20392636418669588,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
助長,0.20392636418669588,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
差別,0.45463967573082636,各個人の環境はさまざまですから、差別に対し言及をしなければ差別に加担していると言い切り、心身を追い込んでしまうのはひどいという認識。しかし公式や権力者に対しては話は別だと思う…。言及しないことは、差別構造を助長させる表明にしかならない。力関係が違う / 
