組み合わせ,共起回数
"戦士, 自由",30
"戦士, 自由, 表現",32
"戦士, 表現",32
"券, 接種",35
"うい, うい",55
"医療, 従事",35
"医療, 従事, 者",58
"従事, 者",46
"カム, 金",30
"登, 鯉",47
"同人, 誌",30
"少尉, 年",31
"やめる, 枝野",32
"明治, 歳",30
"年, 明治, 歳",107
"年, 明治",70
"年, 年, 明治",72
"め, 温泉",36
"人, １",32
"人, 日, １",68
"日, １",45
"日, 日, １",46
"勇作, 花沢",37
"可能, 性",54
"者, 高齢",52
"二, 次",31
"くん, ちゃ, 勇作",52
"くん, ちゃ, 勇作, 尾",72
"くん, ちゃ, 尾",60
"くん, ちゃ, 尾, 尾",38
"ちゃ, 勇作",43
"ちゃ, 勇作, 尾",61
"ちゃ, 尾",65
"ちゃ, 尾, 尾",30
"年, 歳",41
"人, 韓国",30
"日本, 韓国",31
"さん, 鶴見",36
"エロ, 自由",39
"エロ, 自由, 表現",52
"エロ, 表現",44
"家, 政治",31
"勇作, 猫",39
"ちゃん, 勇作, 猫",50
"ちゃん, 猫",66
"元, 勇作",30
"元, 勇作, 杉",50
"元, 杉",73
"人, 入院",38
"自由, 表現",58
"くん, 顔",30
"くん, 勇作, 顔",51
"勇作, 顔",34
"何, 度",31
"勇作, 百",40
"ちゃん, 勇作, 百",35
"ちゃん, 百",44
"いける, 思う",31
"くん, 杉",31
"くん, 勇作, 杉",39
"勇作, 杉",39
"思う, 表現",33
"かわいい, かわいい",115
"投票, 行く",38
"行く, 選挙",37
"年, 月",44
"医療, 者",67
"俺, 俺",70
"思う, 所",31
"しまう, 感じる",31
"思う, 感じる",32
"女性, 思う",30
"一, 円",30
"円, 検査",36
"万, 円",67
"思う, 知る",32
"しまう, 差別",32
"差別, 的",35
"差別, 思う",37
"年, 数",38
"しまう, 化",31
"思う, 方",40
"回, 目",56
"思う, 達",30
"自分, 達",34
"私, 達",37
"中, 人",32
"さん, 鯉",30
"ちゃん, 鯉",56
"接種, 者",33
"ワクチン, 接種",79
"人, 受ける",30
"受ける, 思う",38
"受ける, 検査",38
"ほう, 思う",33
"いい, ほう",51
"勇作, 好き",32
"いく, 思う",32
"コロナ, 感染",38
"コロナ, 人, 感染",30
"人, 感染",48
"人, 人, 感染",30
"感染, 者",54
"二, 人",53
"一, 万",38
"万, 万",57
"万, 万, 人",31
"万, 人",72
"万, 人, 人",30
"思う, 氏",31
"尾, 尾形",30
"さん, 尾形",63
"さん, 勇作, 尾形",79
"くん, 尾形",68
"くん, 勇作, 尾形",103
"勇作, 尾形",120
"勇作, 勇作, 尾形",35
"ちゃん, ゆう",38
"もの, 思う",30
"前, 思う",35
"前, 年",38
"みたい, 思う",31
"さ, 思う",36
"いい, 買う",30
"ため, 勇作",31
"一, 日",36
"人, 日",36
"しまう, 読む",30
"思う, 読む",32
"さん, 読む",35
"しまう, 多い",32
"多い, 思う",42
"人, 多い",54
"やる, 思う",30
"しまう, やる",34
"何, 思う",41
"人, 何",44
"いい, いう",30
"いう, さん",31
"いう, 人",33
"いう, 思う",38
"年, 思う",40
"一, 年",43
"一, 年, 年",33
"年, 年",57
"年, 年, 年",36
"コロナ, 人",52
"ワクチン, 思う",30
"ワクチン, 人",30
"ワクチン, 者",48
"ない, 検査",30
"一, 検査",30
"検査, 検査, 者",39
"人, 検査, 検査, 者",54
"人, 検査, 者",52
"人, 検査",54
"人, 検査, 検査",36
"できる, 検査",57
"できる, 検査, 検査",30
"検査, 検査",59
"くれる, くん",30
"くれる, くん, 勇作",57
"くれる, さん",32
"くれる, 勇作",33
"思う, 日本",31
"人, 日本",33
"人, 書く",32
"しまう, 書く",35
"勇作, 書く",36
"さん, 書く",37
"勇, 書く",39
"勇, 尾, 書く",65
"尾, 書く",45
"思う, 書く",49
"思う, 行く",33
"人, 行く",45
"ちゃう, 人",31
"くん, ちゃう",40
"くん, ちゃう, 勇作",54
"ちゃう, 勇作",43
"そう, 思う",38
"そう, 人",41
"よう, られる",30
"られる, 見る",30
"さん, られる",35
"られる, 思う",54
"これ, それ",31
"それ, 私",33
"さん, それ",34
"それ, 人",42
"しまう, それ",57
"それ, 思う",68
"一, 自分",30
"一, 人, 自分",46
"自分, 言う",31
"さん, 自分",36
"しまう, 自分",41
"ない, 自分",42
"いい, 自分",43
"人, 自分",47
"思う, 自分",75
"出る, 者",30
"さん, 出る",31
"出る, 思う",31
"しまう, 出る",31
"くん, 出る",33
"くん, 出る, 勇作",34
"出る, 勇作",39
"人, 出る",49
"くる, 出る",75
"せる, 勇作",34
"せる, 人",34
"いい, せる",40
"しまう, せる",43
"さん, せる",44
"せる, 思う",53
"くん, ちゃん, 兄, 様",45
"くん, ちゃん, 兄, 勇作, 様",76
"くん, ちゃん, 勇作, 様",57
"ちゃん, 兄, 様",44
"ちゃん, 兄, 勇作, 様",63
"ちゃん, 勇作, 様",48
"さん, 勇作, 様",51
"さん, 兄, 様",51
"さん, 兄, 勇作, 様",82
"くん, くん, 兄, 様",38
"くん, くん, 兄, 勇作, 様",75
"くん, くん, 勇作, 様",63
"くん, くん, 勇作, 勇作, 様",36
"くん, 兄, 兄, 様",47
"くん, 兄, 兄, 勇作, 様",101
"くん, 兄, 勇作, 様",284
"くん, 兄, 勇作, 勇作, 様",118
"くん, 勇作, 様",219
"くん, 勇作, 勇作, 様",77
"勇作, 勇作, 様",51
"兄, 勇作, 勇作, 様",86
"兄, 勇作, 様",251
"兄, 兄, 勇作, 様",91
"兄, 様",275
"兄, 兄, 様",75
"さん, 的",35
"しまう, 的",48
"人, 的",49
"思う, 的",74
"兄, 兄",32
"兄, 兄, 勇作",39
"くん, ちゃん, 兄",39
"くん, ちゃん, 兄, 勇作",63
"ちゃん, 兄, 勇作",52
"さん, 兄",41
