名詞,名詞数,動詞,動詞数,形容詞,形容詞数
花沢,46,ゆう,125.0,くい,6.0
勇作,799,ほる,16.0,ない,460.0
くん,657,おす,1.0,素晴らしい,13.0
悪魔,6,く,93.0,嬉しい,35.0
ゆか,3,知る,105.0,いい,499.0
ちゃん,357,ちる,70.0,感慨深い,5.0
靴下,3,かける,46.0,忙しい,16.0
アイコ,5,動く,28.0,有難い,12.0
ン,12,踏み抜く,1.0,欲しい,108.0
いっしょ,1,いく,131.0,やすい,53.0
ろ,22,直す,7.0,悪い,70.0
兄,260,くる,440.0,強い,62.0
様,256,許す,10.0,良い,105.0
アイドル,14,振る舞う,3.0,遠慮ない,4.0
女優,3,思う,771.0,少ない,45.0
誘惑,2,聞く,75.0,弱い,15.0
仲良し,8,みる,142.0,悲しい,33.0
牽制,1,くれる,189.0,寂しい,9.0
組,16,貰える,24.0,せつない,1.0
さ,162,いう,181.0,優しい,24.0
さま,29,ちがう,7.0,あさい,1.0
解釈,33,泣く,30.0,低い,18.0
時間,48,貼る,10.0,多い,176.0
とこ,68,すむ,22.0,可愛い,56.0
タメ,13,増える,53.0,相応しい,11.0
それ,233,推す,41.0,賢い,6.0
これ,325,増やす,16.0,正しい,9.0
キャラ,48,下さる,27.0,高い,58.0
ファン,76,勝つ,14.0,安い,28.0
地雷,9,寝る,35.0,早い,41.0
気,155,分かる,167.0,懐かしい,2.0
さん,721,預ける,3.0,弱々しい,2.0
鶴見,63,出す,84.0,っぽい,23.0
戦地,7,見る,338.0,冷たい,3.0
服,23,受け入れる,23.0,かっこいい,22.0
手の平,3,買う,169.0,楽しい,40.0
公式,42,会える,2.0,こい,9.0
グッズ,29,死ぬ,67.0,薄い,8.0
全部,23,始める,38.0,無い,31.0
尾形,141,やる,177.0,怖い,72.0
台詞,12,耕す,3.0,面白い,56.0
集英社,13,引っ張る,4.0,おかしい,31.0
アク,13,落ち着く,12.0,細かい,5.0
キー,12,掻い潜る,1.0,やばい,18.0
現実,33,目立つ,13.0,親しい,2.0
原作,50,振る,4.0,酷い,24.0
トーン,4,慕う,7.0,偉い,4.0
モン,4,つく,42.0,浅い,4.0
ペ,6,考える,118.0,ほしい,81.0
野田,53,来る,29.0,かわいい,83.0
先生,99,役立つ,4.0,柔らかい,5.0
兄弟,77,交える,3.0,悩ましい,2.0
掛け合い,1,殺す,28.0,凄い,32.0
一つ,19,しまう,576.0,青い,2.0
もの,144,覚える,14.0,すごい,65.0
無闇,3,守る,39.0,苦しい,10.0
前向き,11,汚す,5.0,太い,2.0
感情,21,せる,248.0,おもい,4.0
尺,5,寄せる,9.0,新しい,17.0
肩幅,1,書く,223.0,ぬるい,2.0
現場,14,嵌る,7.0,若い,23.0
以上,60,まつ,14.0,辛い,4.0
鹿児島,4,戦う,17.0,うまい,10.0
出身,18,ねじきる,1.0,つらい,35.0
イントネーション,1,嫌う,6.0,こわい,22.0
幼年,4,乗る,16.0,難しい,17.0
学校,56,かく,7.0,美しい,11.0
方言,3,立つ,21.0,大きい,32.0
変,31,吐き出す,1.0,よい,135.0
違い,16,載る,27.0,めでたい,2.0
洗礼,1,使う,99.0,上手い,24.0
勇,265,描く,22.0,にくい,14.0
尾,478,射す,1.0,凛々しい,2.0
二,134,帯びる,2.0,仲良い,6.0
人,624,見える,51.0,ねむい,1.0
死,33,差す,4.0,白い,4.0
ブロマイド,2,黙る,6.0,臭い,5.0
８,7,伝わる,9.0,頼もしい,1.0
巻,51,頑張る,83.0,詳しい,12.0
９,7,立ち上がる,7.0,短い,3.0
７,4,受ける,121.0,かっこよい,6.0
特典,6,上がる,34.0,はげしい,2.0
商売,3,怒る,24.0,イイ,8.0
上手,8,とく,22.0,ちかい,2.0
遺影,3,くださる,62.0,痛い,16.0
フレーム,4,感じる,96.0,遅い,11.0
丸,5,られる,230.0,美味しい,31.0
ダメ,54,流れる,13.0,甘い,8.0
一,272,切る,21.0,遠い,6.0
週間,17,詫びる,1.0,うい,32.0
分,39,続ける,70.0,大人しい,5.0
緊張,4,行く,223.0,鋭い,2.0
晩,7,読む,176.0,暗い,10.0
アニメ,49,貰う,43.0,近い,23.0
盛大,1,盛り上げる,4.0,恥ずかしい,16.0
彼,31,削る,10.0,弛い,4.0
兵卒,2,覆す,2.0,深い,20.0
命,32,作る,127.0,興味深い,16.0
熱,25,残す,8.0,喜ばしい,1.0
夢,26,さる,2.0,尊い,16.0
％,44,ふざける,5.0,はやい,7.0
キロ,7,しれる,81.0,可愛らしい,3.0
胸毛,4,弄ぶ,1.0,おこがましい,4.0
よう,367,できる,298.0,しんどい,8.0
胸板,9,踏みにじる,4.0,空しい,1.0
人物,13,迷う,12.0,ひどい,13.0
像,11,言う,288.0,軽い,24.0
筈,8,狂う,15.0,暖かい,2.0
客,13,届く,33.0,古い,3.0
年,181,集める,10.0,重い,14.0
頃,65,諦める,8.0,やりきれない,1.0
創作,72,触れる,18.0,疑わしい,2.0
あれ,50,戻れる,3.0,珍しい,8.0
ショック,16,きる,16.0,危うい,7.0
ちょう,20,消す,16.0,宜しい,3.0
自分,237,語り合う,1.0,有り難い,9.0
畑,6,殴る,6.0,黒い,4.0
好き,125,返す,10.0,しつこい,3.0
足,28,すける,2.0,広い,16.0
わけ,21,ふる,17.0,とうとい,4.0
静か,13,取り戻す,4.0,厳しい,11.0
綺麗,17,おくる,2.0,微笑ましい,1.0
童話,2,癒す,7.0,鈍い,4.0
みたい,154,すぎる,137.0,くらい,8.0
秋,10,ねじ伏せる,2.0,つよい,10.0
紅葉,1,持つ,81.0,目出度い,1.0
逃避,1,語る,17.0,なかよい,2.0
どこら,1,ちゃう,223.0,生々しい,1.0
嫌,27,かねる,13.0,ありがたい,10.0
分析,13,がる,26.0,にがい,1.0
愛,45,揃う,2.0,よわい,3.0
勇気,10,消える,14.0,切ない,2.0
敵,8,やめる,39.0,白々しい,1.0
銃弾,1,なさる,6.0,でっかい,17.0
旗,15,捉える,7.0,おしい,2.0
皆,13,へし折る,1.0,しぶい,3.0
少尉,39,扱う,15.0,青白い,1.0
やんちゃ,1,呈す,1.0,長い,16.0
二階堂,5,呟く,9.0,ぽい,6.0
達,115,巻き込む,6.0,暑い,4.0
父親,4,取る,55.0,肌寒い,1.0
危険,25,ほえる,2.0,おそい,2.0
任務,2,生かす,4.0,哀しい,6.0
一種,5,騒ぐ,18.0,かわゆい,3.0
部分,34,見受ける,3.0,小さい,13.0
嫉妬,5,引っ掛かる,9.0,儚い,1.0
義心,1,傷付ける,5.0,すい,1.0
罪悪,9,入れる,64.0,手厚い,3.0
感,59,受け取る,7.0,素早い,3.0
自己,32,始まる,37.0,よろしい,4.0
手,61,でる,56.0,うるさい,10.0
交差,3,出る,245.0,さくい,2.0
ため,171,探す,17.0,色濃い,1.0
所,96,見直す,9.0,硬い,3.0
少年,20,眠る,2.0,固い,3.0
声優,9,奪い返す,1.0,幼い,2.0
身体,16,出来る,41.0,神々しい,2.0
小さめ,1,高まる,5.0,どぎつい,1.0
聖母,6,たのしむ,1.0,難い,5.0
アイツ,1,下げる,7.0,荒い,2.0
派,26,含める,15.0,激しい,7.0
私,276,絡む,20.0,愛らしい,1.0
胃,6,栄える,1.0,凄まじい,8.0
そ,20,得る,43.0,ちゃんちゃらおかしい,1.0
ゆう,17,振り返る,4.0,愛しい,4.0
鎮静,2,のめる,2.0,罪深い,5.0
呪文,1,繋げる,11.0,だるい,1.0
あと,84,おく,47.0,熱い,3.0
角度,3,乗せる,7.0,見よい,1.0
驕り,3,恐れる,5.0,篤い,1.0
昔,55,めぐる,1.0,おぞましい,1.0
散々,6,変わる,23.0,細い,2.0
当て馬,2,外れる,3.0,敏い,1.0
変態,7,明かす,2.0,濃い,2.0
化,110,くう,4.0,とおい,1.0
時代,85,捨てる,19.0,よしない,6.0
身,15,知れる,24.0,めんどくさい,2.0
何,178,示す,4.0,もったいない,1.0
度,75,抱き締める,8.0,善い,4.0
トレンド,18,あげる,70.0,易い,1.0
作家,31,呼ぶ,36.0,望ましい,3.0
努力,10,履く,8.0,狭い,3.0
成果,2,落とす,19.0,ものすごい,3.0
人気,16,借りる,8.0,羨ましい,9.0
胡座,1,据え置く,1.0,かいがいしい,1.0
駆け足,2,殺る,5.0,いじらしい,1.0
くせ,6,陥れる,1.0,えらい,4.0
宣伝,17,消せる,1.0,汚い,5.0
腹,7,にらみ合う,1.0,おっきい,1.0
求心力,1,いたる,1.0,涼しい,3.0
牽引,2,上げる,30.0,ダサい,2.0
広告塔,7,付す,1.0,速い,1.0
作,12,憧れる,2.0,恐い,2.0
発言,38,いじめる,2.0,寒い,6.0
目,140,育てる,10.0,くちい,1.0
矢,1,起こす,14.0,まめまめしい,1.0
時,141,決める,20.0,たのしい,2.0
オーバーラップ,3,屈する,1.0,根強い,6.0
水,9,かする,3.0,容易い,1.0
申し訳,17,学ぶ,32.0,醜い,2.0
心,64,締め括る,1.0,づらい,3.0
整理,12,終わる,52.0,厚い,9.0
実直,2,めくる,3.0,おいしい,2.0
最近,68,すれ違う,3.0,のろい,1.0
鬼,20,付ける,46.0,勿体ない,3.0
滅,17,移す,3.0,痒い,4.0
絶望,9,目指す,15.0,やさしい,3.0
演出,8,なれる,11.0,暑苦しい,2.0
フォロー,6,うなる,1.0,しろい,2.0
意図,2,止まる,5.0,ちかしい,1.0
ねこ,12,動き出す,1.0,忌々しい,2.0
狂気,2,楽しむ,15.0,久しい,1.0
ダメージ,3,思いきる,3.0,極まりない,1.0
外道,1,習う,4.0,おぼつかない,1.0
メディアミックス,1,食べる,74.0,おもたい,2.0
普段,7,思い当たる,3.0,ひよわい,1.0
体温,5,務める,4.0,しょっぱい,3.0
他,53,縛る,1.0,きつい,3.0
監督,12,違う,55.0,悪しい,1.0
言い訳,7,なす,5.0,がたい,5.0
気持ち,54,飛ばす,13.0,危ない,4.0
作品,87,入れ替わる,2.0,ちっちゃい,1.0
声帯,6,取れる,18.0,でかい,2.0
小野,5,並ぶ,8.0,煩い,2.0
大輔,1,連れ去る,1.0,情けない,5.0
友樹,1,係る,1.0,安っぽい,1.0
主張,34,連れ出す,2.0,等しい,1.0
勇敢,1,つるむ,5.0,かわいらしい,1.0
凛々,1,のせる,2.0,貧しい,1.0
カリスマ,2,うなされる,1.0,あつい,1.0
性,135,有り得る,1.0,いかつい,1.0
臆病,1,信じる,28.0,温かい,2.0
感想,28,乱れる,2.0,熱っぽい,2.0
本当,13,例える,4.0,喧しい,1.0
デザイン,4,忘れる,37.0,悔しい,3.0
担当,17,通り越す,1.0,せまい,1.0
お前,19,見つめる,2.0,際どい,1.0
ら,65,いびる,1.0,耐えがたい,1.0
思想,15,かう,10.0,近しい,1.0
アンチテーゼ,1,取り寄せる,8.0,騒がしい,1.0
漫画,76,惚れる,10.0,たくましい,1.0
利用,24,着る,9.0,何気ない,1.0
長文,2,むく,4.0,おもんない,1.0
メール,9,飾る,15.0,紛らわしい,1.0
おこ,6,頼む,11.0,眩しい,2.0
やつ,25,纏める,9.0,ややこしい,2.0
右翼,10,塗る,5.0,幅広い,1.0
団体,10,とぐ,1.0,そぐわない,1.0
脅迫,5,おきる,3.0,ちっさい,1.0
原爆,3,調べる,32.0,力強い,1.0
事実,19,かこう,1.0,恐ろしい,1.0
はだし,5,障る,7.0,ええ,6.0
ゲン,5,関わる,14.0,恨めしい,1.0
連載,17,相次ぐ,2.0,すっごい,1.0
反骨,2,救える,1.0,息苦しい,1.0
精神,19,絞る,5.0,怪しい,2.0
どこ,73,降りる,5.0,めんどい,1.0
ジャンプ,13,きれる,12.0,酸い,1.0
杉,81,併せる,2.0,逞しい,1.0
元,73,もらう,54.0,初々しい,1.0
旭日,9,湧く,1.0,緩い,1.0
パーカー,3,見せる,23.0,えぐい,1.0
件,23,たまる,3.0,心強い,1.0
なん,72,進む,22.0,根深い,2.0
炎上,18,誑かす,3.0,毛頭ない,1.0
中,119,ほめる,7.0,生易しい,1.0
韓,11,褒める,17.0,ながい,1.0
配信,10,経つ,4.0,目覚ましい,1.0
ストップ,2,頂く,46.0,そこはかとない,1.0
学習,6,頂ける,25.0,格好いい,1.0
済み,9,詰め込む,2.0,憎い,1.0
作者,32,包み込む,2.0,不甲斐ない,1.0
大勢,12,打つ,26.0,愚かしい,1.0
毎日,32,慣れる,10.0,手広い,1.0
無碍,2,滾つ,1.0,誇らしい,1.0
ダム,15,吐く,12.0,うすい,1.0
感動,7,繋ぐ,2.0,みみっちい,1.0
紹介,16,助かる,6.0,うとい,1.0
寝食,2,答える,8.0,いたたまれない,1.0
絵,45,投げる,2.0,とろい,2.0
文章,20,澄ます,1.0,憎たらしい,1.0
形,7,売る,36.0,味わい深い,1.0
落胆,2,歌う,7.0,きめ細かい,1.0
意趣,2,足す,5.0,ずるい,1.0
返し,2,腐る,11.0,目新しい,1.0
下手,1,しねる,2.0,おもしろい,2.0
全て,28,入る,89.0,か細い,1.0
台無し,3,ひる,23.0,もの凄い,1.0
自覚,35,たおる,1.0,気持ちよい,1.0
片手間,1,じゃう,10.0,カッコイイ,1.0
程度,21,生きる,42.0,やるせない,2.0
価値,13,ころす,14.0,くやしい,1.0
物,43,受け止める,16.0,明るい,1.0
理解,29,思い出す,14.0,夥しい,1.0
加減,3,刺さる,4.0,生臭い,1.0
編集,23,外す,12.0,気安い,1.0
部,29,かつ,5.0,えげつない,1.0
電話,20,亡くす,2.0,図々しい,3.0
身内,15,生まれる,14.0,まるい,1.0
出版,16,渡る,6.0,軽々しい,1.0
関係,61,祀る,1.0,まずい,1.0
苦情,6,落ち着ける,2.0,揺るぎない,1.0
そう,227,すぐる,5.0,むずかしい,1.0
距離,8,揃える,5.0,易しい,1.0
煉炭,2,撮る,19.0,許可ない,1.0
作業,13,下ろす,2.0,憂い,1.0
闇,12,壊れる,7.0,分厚い,1.0
落ち,3,とどく,1.0,みっともない,1.0
ペース,2,ついてる,6.0,惜しい,1.0
はず,16,さく,3.0,,
れん,2,とる,30.0,,
たん,21,付く,31.0,,
卒業,9,わく,3.0,,
歳,61,食う,6.0,,
我慢,8,乗っ取る,2.0,,
ヶ月,40,掘る,5.0,,
前,151,唸る,3.0,,
浮気,3,生き返る,2.0,,
うた,2,切れる,11.0,,
がい,9,わすれる,1.0,,
喧嘩,6,舐める,4.0,,
仲直り,3,漂う,2.0,,
存在,48,煽る,16.0,,
梅,5,誤る,4.0,,
辛口,2,配す,1.0,,
意見,41,しぬ,3.0,,
そっ,5,申し込む,6.0,,
かわいそう,5,間に合う,14.0,,
今,116,がんばる,5.0,,
次,53,作れる,11.0,,
元気,11,悟る,2.0,,
脳,35,開く,16.0,,
内,32,流行る,28.0,,
い,10,ぶつける,9.0,,
桜,6,やせる,1.0,,
乱舞,3,回す,15.0,,
物騒,1,仕掛ける,2.0,,
こいつ,8,過ぎる,12.0,,
完全,15,通る,12.0,,
ジャンル,33,落とし込む,1.0,,
モンスター,8,混じる,3.0,,
瓶,3,弾ける,6.0,,
舞,4,ほす,11.0,,
治,4,眺める,2.0,,
房,2,落ちる,31.0,,
白石,10,ふむ,17.0,,
器用,2,反する,3.0,,
河童,1,引き摺る,10.0,,
手負い,1,間違える,8.0,,
鯉,119,ぼる,24.0,,
例,11,終える,5.0,,
昼間,8,流す,9.0,,
駅前,6,辿れる,1.0,,
人目,2,被る,7.0,,
会議,15,かわく,1.0,,
一緒,33,いける,78.0,,
懲戒,2,戯れる,2.0,,
立地,1,書き下ろす,9.0,,
無視,7,いただく,9.0,,
層,45,致す,4.0,,
なに,41,書ける,10.0,,
無駄,8,見つかる,8.0,,
俺,92,起きる,30.0,,
スギ,5,まくる,44.0,,
モヨ,2,吹き飛ばす,1.0,,
爽やか,2,攻める,3.0,,
朝,35,載せる,5.0,,
目印,1,位置付ける,1.0,,
標的,5,けなす,4.0,,
生存,3,ちまう,6.0,,
率,52,繋がる,18.0,,
格段,1,助ける,7.0,,
聯隊,25,すう,3.0,,
旗手,27,さんする,1.0,,
思い,16,見れる,7.0,,
たくさん,38,隠れる,4.0,,
ざく,1,散らかす,1.0,,
利光,1,つられる,1.0,,
ゲーム,23,回る,28.0,,
８月,12,晒す,6.0,,
乱入,1,引き上げる,5.0,,
レ,7,どく,3.0,,
フリー,1,待つ,27.0,,
岩,1,名乗る,4.0,,
百,78,招き入れる,1.0,,
天使,6,脱ぐ,4.0,,
先住民,4,立ち上る,1.0,,
族,6,笑う,21.0,,
架け橋,1,よる,7.0,,
栄誉,1,狙える,1.0,,
滅茶苦茶,4,選ぶ,17.0,,
仕事,30,認める,23.0,,
ぶり,11,戦慄く,4.0,,
人種,10,おちる,6.0,,
差別,106,つくす,3.0,,
叩き,5,困る,20.0,,
棒,3,飲む,22.0,,
欄,6,引きだす,1.0,,
地獄,22,見張る,1.0,,
参戦,1,減らす,10.0,,
様々,4,押しかける,1.0,,
観光,32,置く,16.0,,
地,33,出せる,9.0,,
北海道,66,織る,13.0,,
思い入れ,3,広まる,8.0,,
占領,2,ゆく,6.0,,
下,38,消え失せる,1.0,,
シンボル,2,震える,14.0,,
意志,8,吸い込む,4.0,,
大使,4,凹む,2.0,,
ジャッジ,2,貫く,3.0,,
可能,51,抱く,18.0,,
応援,25,させる,18.0,,
アイヌ,67,いれる,5.0,,
人々,35,痛め付ける,2.0,,
博物館,25,愛し合う,3.0,,
者,299,わかる,21.0,,
施設,34,伝える,10.0,,
方々,32,参る,1.0,,
背景,17,塗りつぶす,2.0,,
企業,54,握りしめる,1.0,,
販促,1,どる,10.0,,
教養,6,測れる,2.0,,
レベル,13,痩せる,5.0,,
マーケット,1,吸う,6.0,,
乳首,1,片寄る,1.0,,
騒動,13,述べる,8.0,,
想像,28,茹でる,5.0,,
信用,3,余る,8.0,,
失墜,1,ふりかける,1.0,,
アプローチ,8,へこたれる,1.0,,
ほう,123,錆びる,1.0,,
過去,28,こする,2.0,,
経験,14,減る,24.0,,
肯定,14,明ける,3.0,,
ここ,67,合う,24.0,,
城,3,煮る,3.0,,
オウム,5,太る,1.0,,
反省,20,見上げる,1.0,,
研究,19,戻る,10.0,,
結果,38,たりる,2.0,,
政治,71,踏む,8.0,,
見立て,1,ちぎる,1.0,,
コロナ,181,驚く,5.0,,
大袈裟,5,根付く,3.0,,
血管,8,憤る,7.0,,
健康,22,訴える,8.0,,
大丈夫,23,知れ渡る,1.0,,
説,10,整う,3.0,,
代,50,盛り上がる,12.0,,
診断,11,裁く,2.0,,
性癖,10,奪う,17.0,,
ほん,14,呆れる,6.0,,
検査,184,ふるう,1.0,,
試薬,2,召す,3.0,,
原価,3,遂げる,3.0,,
円,104,臭う,1.0,,
人件,2,広げる,6.0,,
費,37,見越す,3.0,,
備品,1,追い付く,6.0,,
流行,16,遅れる,13.0,,
入院,74,起こる,12.0,,
総合,10,うる,19.0,,
病院,81,思える,7.0,,
赤字,3,授かる,1.0,,
補填,4,騙す,17.0,,
はるか,4,営む,1.0,,
文字,8,飼う,5.0,,
制限,14,負ける,19.0,,
おかげ,16,逝く,7.0,,
医師,41,蔓延る,2.0,,
地域,27,嘆く,1.0,,
必要,48,戒める,1.0,,
主要,1,撒く,4.0,,
都市,17,運ぶ,5.0,,
悪手,2,こむ,4.0,,
期,42,受け継ぐ,4.0,,
半年,17,偲ぶ,1.0,,
後,66,合わせる,9.0,,
単行本,5,駆り出す,2.0,,
遊郭,17,際立つ,5.0,,
編,26,追い詰める,2.0,,
周辺,10,見過ごす,1.0,,
フェルト,1,押し付ける,6.0,,
小物,2,気付く,35.0,,
猫,72,ふんぞり返る,1.0,,
今日,78,経る,12.0,,
楽しみ,16,立ち後れる,1.0,,
ぜんぶ,10,出くわす,2.0,,
おじゃん,7,やり過ごす,1.0,,
内股,1,呼び掛ける,12.0,,
そっち,9,傾く,7.0,,
側,47,飽きる,5.0,,
ディス,1,死にかける,2.0,,
弱,3,計れる,2.0,,
迎合,4,亡くなる,33.0,,
発音,1,避ける,13.0,,
訛り,1,魅せる,2.0,,
独自,9,いきる,3.0,,
確か,25,見向く,1.0,,
士官,25,磨く,4.0,,
矯正,2,狙う,14.0,,
論文,8,救う,7.0,,
肉弾,6,続く,30.0,,
話し言葉,1,追いかける,4.0,,
参考,24,切り離せる,2.0,,
鱗,3,打ち付ける,1.0,,
貴様,4,加える,5.0,,
大正,8,比べる,13.0,,
同僚,3,溢れる,16.0,,
部下,11,与える,14.0,,
上司,5,握る,7.0,,
殿,20,響く,7.0,,
楽,12,醸す,2.0,,
モノローグ,3,要る,9.0,,
土,2,嗅ぐ,1.0,,
戦友,1,取り入れる,5.0,,
街,15,たす,4.0,,
デート,4,うめる,2.0,,
描写,20,高める,4.0,,
一番,50,投げ出す,1.0,,
来年,20,教える,28.0,,
参加,45,逸る,1.0,,
５月,3,疑う,10.0,,
紫外線,4,働く,15.0,,
時期,13,重ねる,1.0,,
何事,9,映す,1.0,,
ロック,21,壊す,4.0,,
ダウン,9,引く,19.0,,
阻止,2,こもる,2.0,,
意気込み,1,もらえる,19.0,,
オタク,95,効く,21.0,,
感染,133,つける,37.0,,
対策,37,買える,18.0,,
団結,3,限る,8.0,,
みんな,61,住む,17.0,,
しら,2,育つ,17.0,,
いし,2,切り替える,3.0,,
寺,1,渡り合う,2.0,,
明日,54,任せる,5.0,,
ごろ,15,だす,12.0,,
本誌,50,迎える,15.0,,
三,59,行う,37.0,,
場面,8,開ける,13.0,,
ハードル,6,失う,15.0,,
訓練,4,しきる,1.0,,
うさ,9,着ける,1.0,,
みの,1,移る,4.0,,
回想,4,被せる,1.0,,
五,17,見つけ出す,1.0,,
六,7,思い切る,2.0,,
期待,14,称える,2.0,,
佐,3,踏まえる,2.0,,
神奈川,62,惹く,5.0,,
県,38,よぶ,3.0,,
同郷,3,愛する,4.0,,
奥多摩,1,絆される,1.0,,
江戸,6,輝く,5.0,,
っ子,1,立て直す,3.0,,
中居,6,役に立つ,8.0,,
坊や,1,捕まる,4.0,,
意外,2,萌える,39.0,,
設定,21,残る,16.0,,
標準,2,納める,3.0,,
語,6,診る,12.0,,
考証,2,かかる,47.0,,
家,96,集まる,3.0,,
横浜,52,届ける,4.0,,
文明開化,1,乗り越える,6.0,,
海,12,はめる,3.0,,
区,57,突き上げる,1.0,,
東横線,1,話しかける,7.0,,
沿い,3,張る,5.0,,
地区,10,泊まる,5.0,,
相模原,3,たどり着く,1.0,,
創業,1,のしかかる,1.0,,
明治,42,きめる,2.0,,
牛鍋,2,磨る,1.0,,
本店,1,投げ掛ける,2.0,,
趣き,1,見かける,17.0,,
しゃぶしゃぶ,1,下がる,14.0,,
老舗,1,言える,31.0,,
情報,55,好く,6.0,,
ハマ,1,考え抜く,2.0,,
ブラ,2,繰り出す,2.0,,
お話し,12,誤魔化す,5.0,,
内田,3,ぬく,3.0,,
男,37,見せつける,3.0,,
長瀬,2,誇る,5.0,,
市,37,なくなる,13.0,,
ゆず,1,決まる,14.0,,
藤沢,4,持ち上げる,7.0,,
窪,1,悼む,1.0,,
塚,1,間違う,5.0,,
洋介,1,尊ぶ,1.0,,
横須賀,8,当たる,12.0,,
上地,1,和む,2.0,,
雄輔,1,遭う,7.0,,
三浦,7,踏みつける,3.0,,
半島,1,いたむ,2.0,,
むかし,1,潜む,2.0,,
崎,2,抱える,8.0,,
水産,1,しだす,1.0,,
高校,4,蔑む,1.0,,
名前,17,値する,8.0,,
入試,3,見つける,9.0,,
合格,1,反す,5.0,,
実習,3,勤める,4.0,,
マグロ,4,委ねる,4.0,,
漁船,2,紐解く,2.0,,
遠洋,1,読み込む,4.0,,
航海,2,似る,14.0,,
ヤンキー,3,踏み込む,3.0,,
そこ,61,凝る,4.0,,
入学,12,満つ,3.0,,
ゴールデン,1,雇う,8.0,,
匹,3,俯く,1.0,,
数,108,まとめる,4.0,,
千,13,通う,13.0,,
万,135,組む,15.0,,
金塊,8,挫ける,1.0,,
死闘,1,労う,3.0,,
舞台,6,指す,4.0,,
インド洋,1,あり,4.0,,
語弊,2,葬る,1.0,,
真面目,15,担う,2.0,,
校風,1,いえる,2.0,,
ブック,9,廃れる,1.0,,
予想,11,貪る,3.0,,
通り,28,寄る,5.0,,
谷垣,15,陥る,6.0,,
爆発,7,はりつめる,1.0,,
日,175,かしげる,1.0,,
生まれ,13,ゆる,5.0,,
パパ,10,遊ぶ,12.0,,
仕方,12,空く,20.0,,
登,38,進める,8.0,,
誕生,18,悩ます,1.0,,
募集,2,埋まる,6.0,,
要項,2,謂う,1.0,,
月,85,支払う,4.0,,
生,21,傷む,3.0,,
周り,5,引き起こす,3.0,,
経歴,7,さぼる,1.0,,
ポジティブ,9,折れる,3.0,,
問,3,じゃれる,2.0,,
差し金,1,あう,8.0,,
之,14,なぞる,2.0,,
助,13,変える,23.0,,
残り香,2,構う,3.0,,
祖父母,11,固める,6.0,,
手先,1,生じる,1.0,,
激情,1,基づく,2.0,,
連隊,2,送る,13.0,,
意識,31,試す,2.0,,
年数,2,おりる,5.0,,
世界,75,積み重ねる,2.0,,
線,12,離す,3.0,,
姿,10,絞める,3.0,,
いね,10,込める,4.0,,
カド,2,崇める,2.0,,
クラ,46,貢ぐ,4.0,,
この世,12,広める,5.0,,
興味,9,ぶん投げる,1.0,,
ちゃめ,16,やらかす,4.0,,
ちゃ,58,恵まれる,2.0,,
居住,4,仕上がる,2.0,,
域,3,あてる,4.0,,
内務,3,待ち受ける,1.0,,
班,4,見込む,2.0,,
方,110,たせる,1.0,,
靴,3,だいする,2.0,,
サンダル,4,取り纏める,4.0,,
便所,1,行ける,21.0,,
一人っ子,2,託す,4.0,,
音,18,らっしゃる,2.0,,
進,11,すっぱ抜く,1.0,,
面倒,16,閉ざす,1.0,,
長男,5,下す,3.0,,
性格,14,走る,6.0,,
気質,9,叫ぶ,8.0,,
任官,2,表す,10.0,,
本来,5,願う,5.0,,
夏,34,しとる,3.0,,
中尉,15,報う,1.0,,
進級,2,光る,2.0,,
日尾,1,聞ける,7.0,,
中央,25,にる,1.0,,
政敵,1,観る,18.0,,
