時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,14.0,39.0,12.0,43.0,25.0,14.0,28.0
01,16.0,10.0,6.0,12.0,23.0,15.0,22.0
02,9.0,7.0,18.0,16.0,16.0,15.0,8.0
03,,17.0,5.0,14.0,20.0,10.0,3.0
04,5.0,24.0,20.0,23.0,19.0,12.0,13.0
05,31.0,35.0,40.0,25.0,31.0,45.0,17.0
06,17.0,38.0,24.0,50.0,24.0,21.0,16.0
07,16.0,31.0,26.0,25.0,14.0,20.0,34.0
08,17.0,36.0,41.0,102.0,33.0,29.0,53.0
09,41.0,43.0,44.0,53.0,44.0,63.0,29.0
10,33.0,38.0,43.0,52.0,48.0,44.0,60.0
11,25.0,30.0,34.0,64.0,39.0,27.0,39.0
12,30.0,27.0,33.0,62.0,31.0,23.0,40.0
13,28.0,19.0,20.0,42.0,16.0,32.0,32.0
14,11.0,35.0,31.0,36.0,25.0,29.0,36.0
15,32.0,22.0,28.0,30.0,26.0,45.0,35.0
16,28.0,37.0,20.0,32.0,32.0,41.0,31.0
17,44.0,70.0,45.0,56.0,33.0,45.0,32.0
18,94.0,83.0,88.0,98.0,82.0,69.0,53.0
19,88.0,68.0,70.0,68.0,76.0,64.0,52.0
20,59.0,73.0,48.0,67.0,93.0,47.0,55.0
21,63.0,66.0,75.0,48.0,68.0,31.0,89.0
22,61.0,67.0,85.0,37.0,65.0,39.0,39.0
23,39.0,62.0,277.0,43.0,70.0,21.0,20.0
