組み合わせ,共起回数
"日, 誕生",31
"さん, 大泉",32
"地球, 爆発",31
"人, 外国",33
"ツイ, 廃",32
"キャンセル, キャンセル",31
"○, 面倒",32
"○, ヤクザ",46
"根本, 的",35
"薫, 高村",40
"当事者, 言う",34
"ない, 自信",33
"ない, 悪意",30
"ない, 差別, 悪意",35
"差別, 悪意",30
"さん, 桔梗",33
"○, さん, 桔梗",63
"○, 桔梗",63
"○, ○, 桔梗",1953
"中尉, 鶴見",32
"者, 視聴",31
"滅, 鬼",37
"志摩, 香坂",44
"中傷, 誹謗",46
"影, 裏",30
"○, 影, 裏",170
"○, 影",170
"○, ○, 影",4929
"○, 注意",79
"五輪, 大会",38
"五輪, 反対, 反対, 秋元",33
"五輪, 反対, 反対, 札幌, 秋元",89
"五輪, 反対, 札幌, 秋元",144
"五輪, 反対, 札幌, 札幌, 秋元",118
"五輪, 札幌, 秋元",74
"五輪, 札幌, 札幌, 秋元",56
"反対, 秋元",40
"反対, 札幌, 秋元",94
"札幌, 秋元",50
"札幌, 札幌, 秋元",36
"あたりまえ, 体操",34
"大臣, 総理",32
"○, 薄い",68
"サトル, 野田",42
"救急, 車",32
"目, 遭う",35
"宣言, 緊急",33
"事態, 宣言, 緊急",41
"事態, 緊急",35
"○, 本誌",39
"星野, 源",38
"○, バレる",39
"○, 通勤",76
"剛, 綾野",52
"ベル, モン",48
"描く, 描ける",40
"カー, チャン",45
"消費, 税",37
"しよう, ない",52
"○, ４",61
"河野, 無能",33
"太郎, 河野, 無能",79
"太郎, 河野",66
"太郎, 太郎, 河野",48
"ない, 不快",31
"すぎる, 伝わる, 好き",31
"すぎる, 伝わる, 好き, 細かい",34
"伝わる, 好き, 細かい",34
"すぎる, 伝わる",34
"すぎる, 伝わる, 細かい",35
"伝わる, 細かい",35
"うる, せる",41
"思う, 憎悪",33
"勤務, 時間",38
"○, 裏",170
"使う, 税金",43
"上がる, 賃金",32
"はる, へる",39
"ウイルス, 感染",30
"ネタ, バレ",49
"○, ネタ, バレ",167
"○, バレ",150
"○, ○, バレ",3079
"キュー, ハイ",52
"可能, 性",47
"基本, 的",35
"ない, 真面目",35
"られる, 止める",30
"事態, 宣言",33
"くる, 回る",30
"ノー, マスク",38
"カム, 金",48
"リスク, 感染",33
"亡くなる, 人",30
"あやの, さん",69
"反対, 反対, 招致, 札幌, 札幌",75
"五輪, 反対, 反対, 招致, 札幌, 札幌",198
"五輪, 反対, 反対, 招致, 札幌",273
"五輪, 五輪, 反対, 反対, 招致, 札幌",309
"五輪, 反対, 反対, 招致",122
"五輪, 五輪, 反対, 反対, 招致",139
"反対, 招致, 札幌, 札幌",88
"五輪, 反対, 招致, 札幌, 札幌",229
"五輪, 反対, 招致, 札幌",325
"五輪, 五輪, 反対, 招致, 札幌",357
"五輪, 反対, 招致",157
"五輪, 五輪, 反対, 招致",170
"招致, 札幌, 札幌",41
"五輪, 招致, 札幌, 札幌",101
"五輪, 招致, 札幌",166
"五輪, 五輪, 招致, 札幌",157
"五輪, 招致",103
"五輪, 五輪, 招致",86
"お願い, 思う",34
"五輪, 競技",47
"○, 身",59
"保険, 健康",31
"ここ, すぎる, 細かい",30
"ここ, すぎる, 好き, 細かい",33
"ここ, 好き, 細かい",33
"すぎる, 細かい",37
"好き, 細かい",37
"すぎる, 好き, 細かい",35
"価値, 観",30
"おとなしい, 言う",30
"紙, 買う",36
"ダム, ファン",58
"ない, 完璧",34
"ない, 同人",32
"下, 思う",30
"かる, 知る",32
"オリンピック, 五輪, 反対, 反対",54
"オリンピック, 五輪, 反対, 反対, 札幌",133
"オリンピック, 反対, 反対, 札幌",78
"オリンピック, 反対, 反対, 札幌, 札幌",61
"オリンピック, 五輪, 五輪, 反対",30
"オリンピック, 五輪, 五輪, 反対, 札幌",74
"オリンピック, 五輪, 反対, 札幌",186
"オリンピック, 五輪, 反対, 札幌, 札幌",146
"オリンピック, 反対, 札幌",117
"オリンピック, 反対, 札幌, 札幌",90
"オリンピック, 札幌, 札幌",41
"オリンピック, 五輪, 札幌, 札幌",65
"オリンピック, 五輪, 札幌",86
"オリンピック, 五輪, 五輪, 札幌",35
"オリンピック, 五輪",59
"さん, 野木",58
"垢, 鍵",30
"悪口, 言う",31
"一般, 市民",32
"ない, 一般",32
"思う, 権利",32
"思う, 間違い",33
"当時, 思う",33
"られる, 耐える",42
"○, 耐える",48
"○, ○, 耐える",1128
"積む, 買う",35
"人, 指摘",30
"人, 差別, 指摘",30
"ない, 指摘",36
"ない, 差別, 指摘",37
"差別, 指摘",42
"差別, 差別, 指摘",54
"感情, 的",31
"ない, 感情",36
"○, 感想",113
"○, 妄想",41
"ない, やらかす",35
"ナイーブ, 思う",34
"下々, 皆さん",56
"中止, 人命, 東京, 東京, 東京, 求める, 軽視",73
"中止, 五輪, 人命, 東京, 東京, 東京, 求める, 軽視",259
"中止, 五輪, 人命, 東京, 東京, 求める, 軽視",614
"中止, 五輪, 五輪, 人命, 東京, 東京, 求める, 軽視",754
"中止, 五輪, 人命, 東京, 求める, 軽視",599
"中止, 五輪, 五輪, 人命, 東京, 求める, 軽視",692
"中止, 五輪, 人命, 求める, 軽視",208
"中止, 五輪, 五輪, 人命, 求める, 軽視",230
"人命, 東京, 東京, 東京, 求める, 軽視",41
"五輪, 人命, 東京, 東京, 東京, 求める, 軽視",147
"五輪, 人命, 東京, 東京, 求める, 軽視",372
"五輪, 五輪, 人命, 東京, 東京, 求める, 軽視",453
"五輪, 人命, 東京, 求める, 軽視",387
"五輪, 五輪, 人命, 東京, 求める, 軽視",438
"五輪, 人命, 求める, 軽視",142
"五輪, 五輪, 人命, 求める, 軽視",153
"中止, 人命, 東京, 東京, 東京, 求める",71
"中止, 五輪, 人命, 東京, 東京, 東京, 求める",251
"中止, 五輪, 人命, 東京, 東京, 求める",581
"中止, 五輪, 五輪, 人命, 東京, 東京, 求める",709
"中止, 五輪, 人命, 東京, 求める",557
"中止, 五輪, 五輪, 人命, 東京, 求める",638
"中止, 五輪, 人命, 求める",191
"中止, 五輪, 五輪, 人命, 求める",209
"人命, 東京, 東京, 東京, 求める",39
"五輪, 人命, 東京, 東京, 東京, 求める",139
