名詞,名詞数,動詞,動詞数,形容詞,形容詞数
コンパクト,5,いける,147.0,かわいい,384.0
サイズ,49,おもう,33.0,でっかい,27.0
わたし,1281,かなう,36.0,いい,2049.0
ほう,427,いう,1442.0,ほしい,589.0
もん,499,出る,741.0,っぽい,292.0
つかさ,1,くる,1592.0,おもしろい,73.0
身長,22,読む,662.0,ない,4156.0
どん,84,でる,290.0,しんどい,170.0
あいつ,10,満たす,3.0,白い,49.0
サバ,13,描く,309.0,ありがたい,61.0
記事,99,はる,70.0,多い,295.0
あれ,318,たつ,69.0,すごい,700.0
キモ,324,みる,814.0,強い,125.0
ちょう,42,知る,514.0,つよい,35.0
何,1596,被る,5.0,やばい,140.0
欲求,14,にじる,24.0,ものすごい,196.0
い,96,買う,758.0,高い,170.0
自分,1123,見る,1409.0,惜しい,6.0
感,353,入る,215.0,そこはかとない,1.0
把握,20,まつ,19.0,つらい,296.0
絵,77,思う,4080.0,痛い,119.0
あやの,53,吹く,25.0,よい,536.0
３,83,思い出す,153.0,めんどくさい,76.0
人,2762,られる,935.0,さみしい,26.0
検索,34,間違える,28.0,熱い,24.0
上位,10,取りかかる,2.0,良い,456.0
稼ぎ,10,来る,390.0,怖い,258.0
ゴミ,102,むらす,1.0,軽い,67.0
これ,1254,わく,96.0,かっこいい,79.0
ハイ,143,気づく,24.0,めんどい,80.0
ロー,74,起きる,118.0,早い,135.0
たく,148,観る,232.0,面白い,215.0
垢,140,向う,26.0,悪い,591.0
まゆ,17,よる,32.0,賢い,11.0
くん,254,かんじる,103.0,弱い,50.0
系列,6,返す,39.0,バカバカしい,7.0
雑,117,もつ,74.0,少ない,66.0
顔面,16,おく,171.0,偉い,23.0
雑誌,29,増す,12.0,よわい,4.0
とき,794,やる,1451.0,おもろい,175.0
武,18,汚す,9.0,くさい,76.0
曲,56,しれる,402.0,でかい,175.0
関心,26,済む,58.0,づらい,67.0
さん,989,受ける,226.0,にくい,66.0
主演,9,住む,60.0,やすい,153.0
頭,247,持てる,12.0,こい,36.0
我,28,わかる,1448.0,ちっちゃい,7.0
すべて,91,生まれる,50.0,いけすかない,2.0
ドラマ,219,得る,78.0,優しい,116.0
化,210,違う,233.0,小さい,62.0
犀川,3,できる,1183.0,たのしい,53.0
あや,31,がんばる,41.0,耐え難い,21.0
記憶,84,報う,5.0,あったかい,29.0
最近,240,思える,125.0,くい,53.0
淳,3,忘れる,186.0,うまい,431.0
鍋,31,くださる,121.0,怪しい,9.0
五,30,含める,23.0,こわい,129.0
千,18,死ぬ,635.0,おっかない,13.0
郎,17,下がる,55.0,激しい,9.0
経由,5,祈る,12.0,長い,113.0
睾丸,2,つく,317.0,ちょろい,21.0
稲荷,2,帰る,202.0,かわゆい,70.0
返し,10,通じる,28.0,むつかしい,47.0
応酬,2,ウケる,47.0,ひどい,148.0
父子,2,使う,359.0,おかしい,186.0
確執,5,飛び出す,3.0,美しい,60.0
話,812,うつ,20.0,素晴らしい,21.0
順番,5,振り込む,5.0,気持ちよい,25.0
大丈夫,172,生きる,240.0,低い,79.0
シ,12,似合う,34.0,なつかしい,5.0
トゲ,2,ぶちこわす,3.0,うさんくさい,8.0
ちゃん,338,まとめる,35.0,あさまい,1.0
ゲラ,4,捨てる,95.0,短い,32.0
一,385,泣かす,1.0,うるさい,50.0
度,161,とく,150.0,暗い,23.0
町田,4,関わる,32.0,安い,58.0
康,9,控える,20.0,おとなしい,56.0
こ,74,させる,74.0,甘い,81.0
どんぶり,5,いただく,50.0,凄い,3.0
用法,4,ちゃう,442.0,狭い,40.0
誤り,6,進む,28.0,楽しい,186.0
テレ,10,言う,2213.0,重い,44.0
東,22,行く,521.0,愉しい,4.0
ほや,1,乗っかる,19.0,深い,40.0
影,37,いく,427.0,えらい,107.0
裏,48,かびる,2.0,大人しい,5.0
共演,6,置く,111.0,正しい,84.0
とも,4,やめる,325.0,悲しい,36.0
なか,34,探す,66.0,遅い,34.0
最初,115,選ぶ,114.0,禍々しい,3.0
びっくり,86,すすめる,7.0,遠い,36.0
さっき,53,ちがう,58.0,えぐい,14.0
