組み合わせ,共起回数
"嫌がらせ, 晒す",13
"価値, 差別",11
"考える, 頭",10
"問題, 闘う",10
"俺, 闘う",13
"俺, 俺, 闘う",10
"ネット, 差別",11
"思う, 数",11
"和人, 差別",27
"ドラマ, 韓国",11
"男, 男性",10
"もの, 男",10
"差別, 意見",11
"差別, 必要",11
"上げる, 人",11
"基本, 的",14
"人, 行く",13
"思う, 権, 著作",27
"思う, 権, 権, 著作",17
"侵害, 侵害, 思う, 著作",17
"侵害, 侵害, 思う, 権, 著作",43
"侵害, 思う, 権, 著作",61
"侵害, 思う, 権, 権, 著作",43
"侵害, 著作",20
"侵害, 侵害, 著作",13
"権, 権, 著作",13
"侵害, 権, 権, 著作",35
"侵害, 権, 著作",46
"侵害, 侵害, 権, 著作",35
"バカ, 思う",10
"全て, 資本",10
"主義, 全て, 資本",40
"全て, 資本, 資本",20
"主義, 全て, 資本, 資本",20
"問題, 資本",10
"全て, 問題, 資本",20
"主義, 問題, 資本",40
"問題, 資本, 資本",20
"主義, 全て, 問題, 資本",20
"全て, 問題, 資本, 資本",20
"主義, 問題, 資本, 資本",20
"主義, 全て, 問題, 資本, 資本",20
"資本, 資本",12
"主義, 資本, 資本",42
"資本, 資本, 資本",10
"主義, 資本, 資本, 資本",10
"主義, 資本",26
"主義, 主義, 資本",32
"がる, ない",11
"人, 安倍",10
"差別, 普通",11
"ダメ, 差別, 差別",12
"ダメ, 差別, 差別, 思う",24
"ダメ, 差別, 思う",22
"ダメ, 差別, 思う, 思う",14
"ダメ, 思う",14
"トランス, 女性, 女性",14
"トランス, 女性, 女性, 差別",48
"トランス, 女性, 差別",45
"トランス, 女性, 差別, 差別",56
"トランス, 差別",22
"トランス, 差別, 差別",20
"侵害, 思う",14
"侵害, 思う, 権",27
"侵害, 権",22
"侵害, 権, 権",13
"犯罪, 者",11
"人, 犯罪, 者",23
"差別, 犯罪, 者",13
"人, 差別, 犯罪, 者",37
"人, 差別, 犯罪",19
"人, 人, 差別, 犯罪",18
"人, 犯罪",15
"人, 人, 犯罪",11
"差別, 議論",17
"化, 正当",12
"化, 差別, 正当",13
"差別, 正当",13
"差別, 差別, 正当",10
"使う, 差別",11
"使う, 差別, 差別",13
"使う, 思う",11
"差別, 年",10
"思う, 漫画",11
"持つ, 特権, 自分",19
"意識, 持つ, 特権, 自分",36
"問題, 持つ, 特権, 自分",54
"問題, 意識, 持つ, 特権, 自分",36
"意識, 持つ, 特権",20
"問題, 意識, 持つ, 特権",60
"意識, 意識, 持つ, 特権",10
"問題, 意識, 意識, 持つ, 特権",10
"問題, 持つ, 特権",30
"問題, 問題, 持つ, 特権",30
"意識, 特権",12
"問題, 意識, 特権",30
"意識, 特権, 自分",19
"問題, 意識, 特権, 自分",54
"問題, 特権, 自分",27
"問題, 問題, 特権, 自分",27
"問題, 特権",15
"問題, 問題, 特権",15
"上, 目線",14
"見る, 韓国",10
"フェミニズム, 差別",12
"思う, 系",10
"差別, 間違う",11
"俺, 差別",10
"一, 人",10
"自由, 表現",11
"全て, 社会, 社会",13
"全て, 問題, 社会, 社会",60
"全て, 問題, 社会",41
"全て, 問題, 問題, 社会",80
"全て, 思う",11
"全て, 問題",20
"全て, 問題, 問題",24
"女性, 思う, 敵",14
"女性, 差別, 思う, 敵",38
"女性, 差別, 敵",21
"女性, 差別, 差別, 敵",25
"思う, 敵",11
"差別, 思う, 敵",13
"差別, 敵",13
"差別, 差別, 敵",13
"つもり, 人",10
"反対, 差別",32
"いく, 思う",10
"ない, わけ",10
"わけ, 思う",10
"差別, 被害",10
"人, 被害",10
"人, 者, 被害",10
"者, 被害",13
"人, 取る",11
"大事, 差別, 思う",14
"大事, 差別, 差別, 思う",14
"大事, 差別, 差別",14
"大事, 思う",17
"思う, 権",14
"女性, 怖い, 男性",14
"女性, 怖い, 思う, 男性",16
"女性, 怖い, 思う",15
"女性, 怖い, 思う, 思う",13
"怖い, 男性",12
"怖い, 思う, 男性",13
"怖い, 思う",14
"属性, 属性, 言う",13
"属性, 属性, 差別, 言う",44
"ない, 属性, 属性, 言う",16
"ない, 属性, 属性, 差別, 言う",56
"ない, 属性, 属性, 差別",44
"ない, 属性, 属性, 差別, 差別",58
"属性, 属性, 差別",32
"属性, 属性, 差別, 差別",40
"ない, 属性, 言う",17
"ない, 属性, 差別, 言う",58
"属性, 差別, 言う",46
"属性, 差別, 差別, 言う",59
"ない, 属性",17
"ない, 属性, 差別",50
"属性, 差別",41
"属性, 差別, 差別",47
"問題, 現実",13
"差別, 差別, 現実",13
"問題, 差別, 差別, 現実",13
"問題, 差別, 現実",15
"人, 意識, 自分",10
"人, 問題, 意識, 自分",24
"人, 意識, 持つ",10
"人, 意識, 持つ, 自分",16
"人, 問題, 意識, 持つ",24
"人, 問題, 意識, 持つ, 自分",16
"人, 問題, 意識",12
"人, 問題, 問題, 意識",12
"意識, 自分",12
"意識, 持つ, 自分",20
"問題, 意識, 自分",30
"問題, 意識, 持つ, 自分",20
"意識, 持つ",16
"問題, 意識, 持つ",39
"問題, 意識",22
"問題, 問題, 意識",18
"感, 無い",15
"無い, 責任",15
"感, 無い, 責任",15
"左翼, 日本",10
"左翼, 左翼, 日本",20
"左翼, 左翼",10
"左翼, 左翼, 左翼",10
"問題, 左翼",12
"問題, 問題, 左翼",10
"ない, 自分, 責任",10
"ない, 感, 自分, 責任",20
"感, 自分, 責任",10
"感, 感, 自分, 責任",10
"ない, ない, 自分, 責任, 責任, 責任",10
"ない, ない, 感, 自分, 責任, 責任, 責任",35
"ない, 感, 自分, 責任, 責任, 責任",70
"ない, 感, 感, 自分, 責任, 責任, 責任",92
"感, 自分, 責任, 責任, 責任",35
"感, 感, 自分, 責任, 責任, 責任",46
"ない, ない, 自分, 責任, 責任",10
"ない, ない, 感, 自分, 責任, 責任",30
"ない, 感, 自分, 責任, 責任",60
"ない, 感, 感, 自分, 責任, 責任",70
"感, 自分, 責任, 責任",30
"感, 感, 自分, 責任, 責任",35
"ない, ない, 思う, 感, 感, 責任",10
"ない, ない, 思う, 感, 感, 責任, 責任",35
"ない, 思う, 感, 感, 責任, 責任",70
"ない, 思う, 感, 感, 責任, 責任, 責任",92
"思う, 感, 感, 責任, 責任",35
"思う, 感, 感, 責任, 責任, 責任",46
"ない, ない, 思う, 感, 責任",10
"ない, ない, 思う, 感, 責任, 責任",30
"ない, 思う, 感, 責任, 責任",60
"ない, 思う, 感, 責任, 責任, 責任",70
"思う, 感, 責任, 責任",30
"思う, 感, 責任, 責任, 責任",35
"いい, ない, ない, 思う, 感, 責任",10
"いい, ない, ない, 思う, 感, 責任, 責任",30
"いい, ない, 思う, 感, 責任, 責任",60
"いい, ない, 思う, 感, 責任, 責任, 責任",70
"いい, 思う, 感, 責任, 責任",30
"いい, 思う, 感, 責任, 責任, 責任",35
"いい, ない, ない, 思う, 感, 感, 責任",10
"いい, ない, ない, 思う, 感, 感, 責任, 責任",35
"いい, ない, 思う, 感, 感, 責任, 責任",70
"いい, ない, 思う, 感, 感, 責任, 責任, 責任",92
"いい, 思う, 感, 感, 責任, 責任",35
"いい, 思う, 感, 感, 責任, 責任, 責任",46
"いい, ない, ない, 感, 感, 責任",10
"いい, ない, ない, 感, 感, 責任, 責任",35
"いい, ない, 感, 感, 責任, 責任",70
"いい, ない, 感, 感, 責任, 責任, 責任",92
"いい, 感, 感, 責任, 責任",35
"いい, 感, 感, 責任, 責任, 責任",46
"いい, ない, ない, 感, 責任",10
"いい, ない, ない, 感, 責任, 責任",30
"いい, ない, 感, 責任, 責任",60
"いい, ない, 感, 責任, 責任, 責任",70
"いい, 感, 責任, 責任",30
"いい, 感, 責任, 責任, 責任",35
"いい, ない, ない, 問題, 感, 責任",10
"いい, ない, ない, 問題, 感, 責任, 責任",30
"いい, ない, 問題, 感, 責任, 責任",60
"いい, ない, 問題, 感, 責任, 責任, 責任",70
"いい, 問題, 感, 責任, 責任",30
"いい, 問題, 感, 責任, 責任, 責任",35
"いい, ない, ない, 問題, 思う, 感, 責任",10
"いい, ない, ない, 問題, 思う, 感, 責任, 責任",30
"いい, ない, 問題, 思う, 感, 責任, 責任",60
