名詞,名詞数,動詞,動詞数,形容詞,形容詞数
七,1,知る,32.0,悪い,12.0
師団,1,上げる,12.0,弱い,7.0
何,34,言い張る,3.0,ない,107.0
人,152,異なる,2.0,ものすごい,11.0
そっち,3,かく,1.0,まずい,1.0
系,15,済む,2.0,良い,27.0
擁護,4,思う,193.0,いい,50.0
ため,38,被る,3.0,かわいい,1.0
日本,42,できる,45.0,痛々しい,1.0
戦争,4,得る,5.0,若い,5.0
犯罪,14,追い詰める,1.0,懐かしい,1.0
否定,4,言う,95.0,恥ずかしい,15.0
自称,2,言い尽くす,1.0,無い,19.0
ジャーナリスト,2,出る,11.0,っぽい,8.0
小説,2,くる,40.0,ありがたい,1.0
家,8,示す,8.0,酷い,4.0
由来,1,吹く,2.0,くい,2.0
デマ,11,やめる,16.0,ほしい,21.0
まとも,9,くださる,8.0,押し付けがましい,1.0
研究,8,指す,3.0,面白い,5.0
者,76,煽る,11.0,かっこいい,7.0
明治,4,述べる,3.0,面倒臭い,2.0
期,1,られる,28.0,重い,1.0
大日本帝国,1,困る,4.0,高い,7.0
歴史,9,かなう,1.0,幽い,2.0
修正,4,晒す,10.0,多い,21.0
主義,46,辞める,4.0,大きい,2.0
フィクション,3,変える,8.0,恐ろしい,6.0
作品,11,がる,13.0,すごい,9.0
史実,1,つく,5.0,手っ取り早い,2.0
描写,3,傾ける,1.0,等しい,1.0
勘違い,18,せる,22.0,低い,4.0
もの,38,落とし込む,4.0,憎い,2.0
勉強,9,いける,9.0,うまい,4.0
発言,2,抱える,1.0,きつい,1.0
方,11,しゃがむ,1.0,しょうもない,2.0
恥,2,でる,10.0,怖い,17.0
それ,51,見る,57.0,こわい,2.0
不利益,3,泣ける,1.0,おかしい,6.0
当事者,2,なす,1.0,暗い,2.0
存在,15,わかる,38.0,ぽい,3.0
事象,1,間違う,15.0,よい,4.0
永遠,2,思い込む,7.0,仲良い,2.0
問題,94,叩く,3.0,辛い,3.0
提起,6,使う,14.0,面倒い,1.0
認識,6,違う,11.0,優しい,1.0
解決,9,つける,12.0,柔らかい,1.0
対話,9,萌える,3.0,図々しい,1.0
要求,2,貢ぐ,1.0,偉い,4.0
暴力,6,いう,38.0,近い,3.0
丁寧,4,気に入る,5.0,少ない,2.0
称揚,1,来る,4.0,おもい,1.0
立場,18,目立つ,2.0,狭い,2.0
差別,188,読む,13.0,ちょろい,1.0
常套句,3,乗り越す,1.0,正しい,3.0
散々,1,慌てる,1.0,づらい,1.0
顔,5,降りる,1.0,疎い,1.0
奴,6,閉まる,1.0,深い,1.0
具体,9,かける,7.0,甘酸っぱい,1.0
的,83,飛び乗る,1.0,ええ,2.0
曖昧,2,信じる,7.0,やばい,2.0
物言い,2,しまう,55.0,やすい,7.0
犬,3,沿う,1.0,相容れない,1.0
笛,3,反する,1.0,根強い,1.0
さん,22,持つ,27.0,ふさわしい,1.0
なん,19,やってくる,1.0,軽い,6.0
みたい,47,見下す,4.0,甘い,2.0
扇動,2,すぎる,17.0,痛い,4.0
専門,9,闘う,10.0,くわしい,1.0
用語,3,見える,9.0,素晴らしい,2.0
自分,80,始める,2.0,詳しい,2.0
加害,10,脅かす,3.0,すっごい,1.0
不安,1,感じる,10.0,気まずい,1.0
被害,17,まくる,3.0,危ない,1.0
矮小,2,守る,13.0,バカバカしい,2.0
化,38,遠のく,2.0,貧しい,2.0
自覚,14,認める,8.0,寒い,1.0
びっくり,1,やる,34.0,強い,5.0
感想,2,巻く,1.0,上手い,1.0
