時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,1.0,4.0,3.0,3.0,9.0,6.0,9.0
01,,5.0,7.0,2.0,11.0,1.0,6.0
02,3.0,9.0,2.0,4.0,2.0,3.0,3.0
03,1.0,7.0,8.0,4.0,5.0,7.0,3.0
04,3.0,8.0,4.0,5.0,4.0,9.0,6.0
05,4.0,3.0,7.0,3.0,11.0,6.0,6.0
06,2.0,5.0,1.0,6.0,6.0,8.0,3.0
07,3.0,5.0,6.0,5.0,4.0,1.0,6.0
08,7.0,4.0,2.0,,1.0,2.0,1.0
09,2.0,1.0,,,2.0,,
13,,,2.0,1.0,,,
14,,,1.0,,,,
15,2.0,5.0,2.0,1.0,,,1.0
16,2.0,3.0,2.0,9.0,3.0,3.0,1.0
17,,6.0,3.0,4.0,,4.0,
18,8.0,3.0,6.0,5.0,2.0,,
19,1.0,3.0,7.0,5.0,1.0,2.0,4.0
20,6.0,6.0,7.0,9.0,5.0,8.0,4.0
21,10.0,5.0,8.0,13.0,2.0,2.0,2.0
22,7.0,2.0,9.0,3.0,1.0,3.0,3.0
23,3.0,4.0,2.0,1.0,,,1.0
