単語,重要度,該当文章
そっち,0.18619586136447253,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
ため,0.11731953090366325,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
まとも,0.16044550878294997,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
ジャーナリスト,0.1953309443209082,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
デマ,0.15407339308470935,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
上げる,0.1487687423339566,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
否定,0.37239172272894505,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
大日本帝国,0.20820612061166943,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
小説,0.1953309443209082,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
師団,0.20820612061166943,第七師団ジャージの何が悪い！とムキームキーしてる人、元々そっち系なのか知らんけど擁護のために日本の戦争犯罪を否定する自称ジャーナリストや小説家由来のデマ(まともな研究者で戦争犯罪否定してる人などいない)ぶち上げたり、明治期の大日本帝国は悪くないもん！と言い張っててうわぁ / 
