名詞,名詞数,動詞,動詞数,形容詞,形容詞数
企画,61,広げる,4.0,喜ばしい,1.0
終了,8,生きる,3.0,言うまでもない,1.0
作品,14,つなげる,3.0,数多い,2.0
アイヌ,9,終える,2.0,うれしい,1.0
文化,6,いたす,13.0,深い,2.0
関心,5,差し上げる,1.0,詳しい,1.0
いま,3,くださる,12.0,遅い,1.0
民族,6,集う,3.0,やむを得ない,1.0
支援,16,いきる,1.0,ない,2.0
寄付,42,行う,9.0,ふさわしい,2.0
非公式,4,届ける,6.0,,
完了,2,できる,14.0,,
報告,6,くれる,2.0,,
当初,13,思う,3.0,,
予定,5,いただく,13.0,,
２つ,1,願う,1.0,,
団体,6,相次ぐ,1.0,,
送金,6,歪める,1.0,,
収支,5,関わる,3.0,,
書,3,守る,1.0,,
作成,1,見なす,3.0,,
３,1,引き続く,2.0,,
名,11,進める,1.0,,
監査,8,いく,1.0,,
人,5,用いる,4.0,,
チェック,1,招く,2.0,,
参加,22,申し上げる,3.0,,
者,23,重ねる,1.0,,
みなさん,5,続く,1.0,,
経由,1,得る,2.0,,
連絡,8,持つ,1.0,,
確認,4,果たせる,1.0,,
ファン,19,考える,7.0,,
有志,3,いただける,2.0,,
ささやか,3,受ける,3.0,,
現代,1,反する,1.0,,
方々,6,かねる,5.0,,
応援,2,せる,2.0,,
気持ち,2,向ける,2.0,,
実社会,1,られる,5.0,,
接続,1,うる,2.0,,
かたち,3,はおる,1.0,,
気軽,5,恐れ入る,2.0,,
寄付行為,3,おく,1.0,,
継続,2,信じる,1.0,,
きっかけ,4,抱く,1.0,,
ひとつ,3,加える,1.0,,
ダム,8,つく,2.0,,
様々,2,限る,1.0,,
可視,1,避ける,4.0,,
化,2,経る,3.0,,
残念,1,募る,2.0,,
匿名,1,除く,2.0,,
嫌がらせ,7,立ち上がる,1.0,,
行為,10,引く,1.0,,
趣旨,1,わける,1.0,,
喧伝,1,充てる,1.0,,
方,11,集める,1.0,,
名誉,1,設ける,1.0,,
ため,5,記す,1.0,,
今,1,伝える,1.0,,
ページ,10,使える,1.0,,
公開,5,鑑みる,1.0,,
違法,2,したがう,1.0,,
もの,7,使う,4.0,,
専門,2,しれる,1.0,,
家,2,広める,1.0,,
相談,3,優れる,1.0,,
うえ,4,認める,1.0,,
対処,1,続ける,2.0,,
所存,1,くる,1.0,,
お詫び,5,いらっしゃる,2.0,,
ブックガイド,3,ふれる,1.0,,
主,3,なれる,1.0,,
内容,5,学ぶ,1.0,,
挿図,3,読める,1.0,,
アート,7,寄せる,1.0,,
配置,2,もらう,1.0,,
返礼,2,描く,2.0,,
品,2,描ける,1.0,,
頒布,5,めぐる,2.0,,
代,1,ふまえる,2.0,,
金,9,働く,1.0,,
取り組み,4,捉える,2.0,,
告知,2,外す,1.0,,
公式,2,分かれる,3.0,,
関係,2,割れる,1.0,,
性,3,正す,1.0,,
誤認,2,取りまとめる,1.0,,
みなさま,2,くわえる,1.0,,
控除,10,出る,1.0,,
説明,1,離れる,2.0,,
早期,3,もつ,1.0,,
後,3,当たる,1.0,,
締切,3,踏まえる,1.0,,
個人,5,ふせる,1.0,,
情報,1,,,,
特定,4,,,,
安全,1,,,,
運営,1,,,,
困難,2,,,,
判断,4,,,,
脅迫,4,,,,
相当,3,,,,
警察,1,,,,
誹謗,1,,,,
中傷,1,,,,
法律,2,,,,
遺憾,1,,,,
多く,1,,,,
感想,1,,,,
意義,1,,,,
サンプル,2,,,,
画像,2,,,,
よう,4,,,,
主催,3,,,,
理解,1,,,,
幸い,4,,,,
これ,3,,,,
問い合わせ,2,,,,
回答,2,,,,
記載,3,,,,
こちら,1,,,,
ガイドライン,1,,,,
返事,1,,,,
場合,1,,,,
了承,4,,,,
もと,1,,,,
年,9,,,,
末日,2,,,,
受付,8,,,,
先,16,,,,
明らか,2,,,,
悪意,2,,,,
懸念,3,,,,
非公開,7,,,,
変更,3,,,,
質問,4,,,,
本件,3,,,,
申請,1,,,,
約束,1,,,,
中,2,,,,
明記,4,,,,
可能,1,,,,
期間,4,,,,
現実,1,,,,
的,10,,,,
証拠,2,,,,
提示,1,,,,
言葉,2,,,,
他,1,,,,
一連,1,,,,
対応,4,,,,
料金,1,,,,
返金,7,,,,
お手数,1,,,,
機能,6,,,,
決済,2,,,,
時,2,,,,
発生,2,,,,
手数料,9,,,,
協力,2,,,,
アカウント,4,,,,
対象,5,,,,
必要,5,,,,
どおり,1,,,,
役,4,,,,
完結,1,,,,
記念,1,,,,
一,3,,,,
希望,3,,,,
下記,1,,,,
選書,5,,,,
ダウンロード,4,,,,
購入,3,,,,
お願い,2,,,,
売上,1,,,,
システム,3,,,,
利用,5,,,,
料,3,,,,
代金,2,,,,
振込,5,,,,
精算,2,,,,
銀行,5,,,,
分,2,,,,
すべて,2,,,,
金額,3,,,,
詳細,2,,,,
以下,2,,,,
一読,1,,,,
上記,2,,,,
理由,6,,,,
概要,1,,,,
振興,1,,,,
何,2,,,,
巻,4,,,,
発売,2,,,,
全額,1,,,,
半分,1,,,,
後述,1,,,,
お礼,3,,,,
状,3,,,,
売り上げ,1,,,,
いくら,1,,,,
今回,7,,,,
目的,2,,,,
機会,1,,,,
固定,1,,,,
高額,1,,,,
費,2,,,,
寄附,5,,,,
メッセージ,3,,,,
名前,1,,,,
個別,1,,,,
振り込み,3,,,,
際,3,,,,
通信,1,,,,
文,3,,,,
欄,2,,,,
行動,1,,,,
いつ,1,,,,
どこ,1,,,,
以外,1,,,,
同様,1,,,,
サービス,1,,,,
社内,1,,,,
深刻,1,,,,
ハラスメント,1,,,,
展開,1,,,,
資金,1,,,,
調達,1,,,,
発起人,1,,,,
金銭,1,,,,
最終,1,,,,
安心,1,,,,
総額,3,,,,
一覧,3,,,,
お伝え,1,,,,
○,2,,,,
以上,1,,,,
おおまか,1,,,,
数,1,,,,
公表,1,,,,
一般,1,,,,
商品,1,,,,
キャンセル,2,,,,
重要,1,,,,
経済,1,,,,
活動,1,,,,
安定,1,,,,
収入,2,,,,
源,2,,,,
日本,1,,,,
大幅,1,,,,
改正,1,,,,
国際,1,,,,
比較,1,,,,
税制,1,,,,
保有,1,,,,
国,1,,,,
支出,1,,,,
確定,1,,,,
申告,1,,,,
所得,1,,,,
更,1,,,,
参考,2,,,,
国税局,1,,,,
公益社,1,,,,
団,1,,,,
法人,1,,,,
等,1,,,,
とき,1,,,,
背景,1,,,,
同化,1,,,,
政策,1,,,,
構造,1,,,,
差別,1,,,,
映画,2,,,,
書籍,3,,,,
紹介,3,,,,
形式,1,,,,
書類,1,,,,
配布,1,,,,
執筆,1,,,,
ゲスト,2,,,,
寄稿,2,,,,
礼状,2,,,,
メイン,1,,,,
冊,1,,,,
オンライン,1,,,,
無料,1,,,,
記事,2,,,,
本,1,,,,
それぞれ,1,,,,
字,2,,,,
程度,2,,,,
掲載,1,,,,
演劇,1,,,,
作,1,,,,
推薦,1,,,,
内,2,,,,
影,2,,,,
出版,1,,,,
社,1,,,,
使用,1,,,,
許可,1,,,,
版元,2,,,,
ドット,1,,,,
コム,1,,,,
書誌,1,,,,
自由,1,,,,
一助,1,,,,
選定,1,,,,
事業,1,,,,
受託,1,,,,
不透明,1,,,,
さ,1,,,,
内部,3,,,,
告発,4,,,,
件,1,,,,
不正,2,,,,
自浄,2,,,,
作用,2,,,,
現在,1,,,,
理事,1,,,,
さら,1,,,,
高まり,1,,,,
選択,1,,,,
当事者,3,,,,
評価,4,,,,
批判,1,,,,
視点,1,,,,
担保,1,,,,
それ,2,,,,
自体,2,,,,
問題,1,,,,
法的,1,,,,
意見,1,,,,
尊重,1,,,,
前提,1,,,,
特段,1,,,,
追記,3,,,,
現時点,1,,,,
許諾,1,,,,
明文化,1,,,,
主軸,1,,,,
挿絵,1,,,,
扱い,1,,,,
著作,9,,,,
権,6,,,,
侵害,4,,,,
抽象,1,,,,
キャラクター,3,,,,
物,3,,,,
該当,1,,,,
過去,1,,,,
最高裁,4,,,,
判例,2,,,,
事件,2,,,,
判決,2,,,,
平成,1,,,,
民,1,,,,
集,1,,,,
号,2,,,,
頁,2,,,,
法,2,,,,
上,1,,,,
定義,1,,,,
思想,1,,,,
感情,1,,,,
創作,2,,,,
表現,1,,,,
具体,1,,,,
漫画,1,,,,
右,1,,,,
登場,1,,,,
人物,1,,,,
提供,1,,,,
否,1,,,,
原作,1,,,,
コマ,1,,,,
目,1,,,,
絵,1,,,,
模倣,2,,,,
立証,1,,,,
二,1,,,,
次,1,,,,
親告罪,1,,,,
範囲,1,,,,
除外,1,,,,
条,1,,,,
項,1,,,,
参照,2,,,,
権利,1,,,,
意思,1,,,,
処罰,1,,,,
これら,1,,,,
厳密,1,,,,
意味,1,,,,
事務所,1,,,,
弁護士,1,,,,
坂田,1,,,,
晃,1,,,,
祐,1,,,,
さん,1,,,,
無断,1,,,,
転載,1,,,,
同人,2,,,,
作家,1,,,,
誌,1,,,,
知,1,,,,
財,1,,,,
高裁,1,,,,
令,1,,,,
和,1,,,,
評釈,1,,,,
修正,1,,,,
文責,1,,,,
