単語,重要度,該当文章
いま,0.26858849574847893,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
つなげる,0.26858849574847893,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
アイヌ,0.48119094685007874,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
企画,0.33948273949672286,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
作品,0.18721499414640375,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
寄付,0.14206837651162693,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
広げる,0.25318282387102625,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
支援,0.1987482891887734,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
文化,0.22995302026375106,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
民族,0.24059547342503937,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
生きる,0.26858849574847893,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
終了,0.21260245110159975,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
関心,0.24059547342503937,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
非公式,0.25318282387102625,［本企画は終了しています］「作品が広げたアイヌ文化への関心をいまを生きるアイヌ民族への支援へとつなげる寄付企画」（※非公式企画です）
企画,0.28845915995398835,［8月1日　企画完了のご報告］
報告,0.6133033590085272,［8月1日　企画完了のご報告］
完了,0.735289264757413,［8月1日　企画完了のご報告］
いたす,0.15592361768980217,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
くださる,0.16503631543504624,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
みなさん,0.21679010593312628,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
チェック,0.27095710990414046,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
予定,0.20601207211992825,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
企画,0.0968950656982603,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
作成,0.27095710990414046,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
参加,0.13195433659047198,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
収支,0.22998135321925844,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
団体,0.1968993743746842,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
報告,0.20601207211992825,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
完了,0.24698782880481024,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
寄付,0.12164734527723012,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
差し上げる,0.27095710990414046,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
当初,0.17581434924824427,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
監査,0.1968993743746842,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
確認,0.21679010593312628,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
終える,0.24698782880481024,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
経由,0.27095710990414046,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
送金,0.1968993743746842,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
連絡,0.1968993743746842,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
２つ,0.27095710990414046,　当初寄付を予定していた２つの団体への送金を終え、収支報告書を作成し、３名の監査人によるチェックを完了いたしました。企画参加者のみなさんには、ピクトスペース経由でご連絡を差し上げておりますので、ご確認ください。
いきる,0.21977854934788324,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
くれる,0.20033660213053164,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
ささやか,0.1865423210539617,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
できる,0.26005223676354566,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
アイヌ,0.3342007476732203,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
ファン,0.12316446988678503,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
企画,0.07859346073504188,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
作品,0.26005223676354566,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
喜ばしい,0.21977854934788324,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
団体,0.15970888855023396,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
実社会,0.21977854934788324,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
届ける,0.15970888855023396,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
広げる,0.1758426453980581,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
応援,0.20033660213053164,　本企画では、作品のファン有志がささやかに集い、現代にいきるアイヌ民族の方々への支援を行う団体に、応援の気持ちを届けることができました。作品が広げてくれたアイヌ文化への関心を実社会へと接続でき、とても喜ばしく思います。
